query,layer,head,pre_len,post_len,cached_kv_len,visual_start,prev_visual_tokens,current_chunk_tokens,manual_prev_mass,manual_current_mass,manual_current_share,manual_current_to_prev_per_token_ratio,eager_prev_mass,eager_current_mass,eager_current_share,eager_current_to_prev_per_token_ratio,abs_current_share_diff,video_idx,chunk_idx,question_idx,frame_start,frame_end,task
local,0,0,5439,26924,26924,14,5425,21485,0.5087890625,0.1707763671875,0.2513023316860199,0.08475286513566971,0.5986328125,0.1995849609375,0.2500382363796234,0.08418440818786621,0.0012640953063964844,0,1,1,3,19,Attribute Recognition
local,0,1,5439,26924,26924,14,5425,21485,0.054534912109375,0.1785888671875,0.7660688757896423,0.8268831372261047,0.06402587890625,0.210205078125,0.7665256857872009,0.8289952278137207,0.00045680999755859375,0,1,1,3,19,Attribute Recognition
local,0,2,5439,26924,26924,14,5425,21485,0.34912109375,0.09375,0.2116868793964386,0.06780466437339783,0.5556640625,0.1373291015625,0.19816803932189941,0.062404319643974304,0.013518840074539185,0,1,1,3,19,Attribute Recognition
local,0,3,5439,26924,26924,14,5425,21485,0.0872802734375,0.00028967857360839844,0.0033079676795750856,0.0008380397339351475,0.1092529296875,0.00042891502380371094,0.00391053780913353,0.0009912940440699458,0.000602570129558444,0,1,1,3,19,Attribute Recognition
local,0,4,5439,26924,26924,14,5425,21485,0.62109375,0.1009521484375,0.13981403410434723,0.04104145988821983,0.68310546875,0.11444091796875,0.1434912383556366,0.042301710695028305,0.0036772042512893677,0,1,1,3,19,Attribute Recognition
local,0,5,5439,26924,26924,14,5425,21485,0.048583984375,0.1123046875,0.6980273127555847,0.583672285079956,0.057525634765625,0.1400146484375,0.7087903618812561,0.6145771145820618,0.010763049125671387,0,1,1,3,19,Attribute Recognition
local,0,6,5439,26924,26924,14,5425,21485,0.057708740234375,0.053466796875,0.48092231154441833,0.23394130170345306,0.0728759765625,0.070068359375,0.4901793301105499,0.2427738457918167,0.009257018566131592,0,1,1,3,19,Attribute Recognition
local,0,7,5439,26924,26924,14,5425,21485,0.06793212890625,0.0758056640625,0.5273885130882263,0.2817673981189728,0.10614013671875,0.11962890625,0.5298729538917542,0.28459078073501587,0.002484440803527832,0,1,1,3,19,Attribute Recognition
local,0,8,5439,26924,26924,14,5425,21485,0.17578125,0.21240234375,0.5471698045730591,0.3051062822341919,0.2451171875,0.293212890625,0.5446711778640747,0.30204638838768005,0.002498626708984375,0,1,1,3,19,Attribute Recognition
local,0,9,5439,26924,26924,14,5425,21485,0.17041015625,0.1973876953125,0.536674439907074,0.2924751341342926,0.23291015625,0.262939453125,0.5302806496620178,0.285057008266449,0.006393790245056152,0,1,1,3,19,Attribute Recognition
local,0,10,5439,26924,26924,14,5425,21485,0.038421630859375,0.01491546630859375,0.27964526414871216,0.09802240878343582,0.044158935546875,0.0207366943359375,0.3195391595363617,0.11857285350561142,0.039893895387649536,0,1,1,3,19,Attribute Recognition
local,0,11,5439,26924,26924,14,5425,21485,0.111083984375,0.2474365234375,0.6901600360870361,0.5624406337738037,0.1385498046875,0.30615234375,0.6884436011314392,0.5579509735107422,0.0017164349555969238,0,1,1,3,19,Attribute Recognition
local,0,12,5439,26924,26924,14,5425,21485,0.1279296875,0.282470703125,0.6882807612419128,0.5575276613235474,0.1612548828125,0.349365234375,0.6841979622840881,0.5470552444458008,0.004082798957824707,0,1,1,3,19,Attribute Recognition
local,0,13,5439,26924,26924,14,5425,21485,0.11651611328125,0.1268310546875,0.5211938619613647,0.27485519647598267,0.1746826171875,0.1810302734375,0.5089224576950073,0.26167720556259155,0.012271404266357422,0,1,1,3,19,Attribute Recognition
local,0,14,5439,26924,26924,14,5425,21485,0.2425537109375,0.6826171875,0.7378281950950623,0.7106138467788696,0.248291015625,0.69873046875,0.7378190159797668,0.7105801105499268,9.179115295410156e-06,0,1,1,3,19,Attribute Recognition
local,0,15,5439,26924,26924,14,5425,21485,0.01641845703125,0.0,0.0,0.0,0.19775390625,0.0,0.0,0.0,0.0,0,1,1,3,19,Attribute Recognition
local,0,16,5439,26924,26924,14,5425,21485,0.086181640625,0.258544921875,0.75,0.7575051784515381,0.10076904296875,0.302001953125,0.7498105764389038,0.7567404508590698,0.0001894235610961914,0,1,1,3,19,Attribute Recognition
local,0,17,5439,26924,26924,14,5425,21485,0.3486328125,0.20068359375,0.36533331871032715,0.14534762501716614,0.435546875,0.2474365234375,0.3622877597808838,0.14344759285449982,0.0030455589294433594,0,1,1,3,19,Attribute Recognition
local,0,18,5439,26924,26924,14,5425,21485,0.3046875,0.2391357421875,0.4397306442260742,0.19817744195461273,0.372314453125,0.283935546875,0.4326636791229248,0.19256362318992615,0.007066965103149414,0,1,1,3,19,Attribute Recognition
local,0,19,5439,26924,26924,14,5425,21485,0.2479248046875,0.546875,0.6880663633346558,0.5569708347320557,0.266845703125,0.5869140625,0.6874463558197021,0.5553652048110962,0.0006200075149536133,0,1,1,3,19,Attribute Recognition
local,0,20,5439,26924,26924,14,5425,21485,0.35205078125,0.0765380859375,0.1785815954208374,0.05489548668265343,0.486328125,0.12176513671875,0.20024089515209198,0.06322050094604492,0.021659299731254578,0,1,1,3,19,Attribute Recognition
local,0,21,5439,26924,26924,14,5425,21485,0.08135986328125,0.1905517578125,0.7007856369018555,0.5913806557655334,0.09912109375,0.2352294921875,0.7035414576530457,0.5992251038551331,0.0027558207511901855,0,1,1,3,19,Attribute Recognition
local,0,22,5439,26924,26924,14,5425,21485,0.2342529296875,0.6689453125,0.7406406402587891,0.721057653427124,0.24169921875,0.68505859375,0.739199161529541,0.7156766653060913,0.0014414787292480469,0,1,1,3,19,Attribute Recognition
local,0,23,5439,26924,26924,14,5425,21485,0.095947265625,0.0849609375,0.46963563561439514,0.22358930110931396,0.132080078125,0.1212158203125,0.47855421900749207,0.23173217475414276,0.008918583393096924,0,1,1,3,19,Attribute Recognition
local,0,24,5439,26924,26924,14,5425,21485,0.106201171875,0.0869140625,0.45006319880485535,0.20664508640766144,0.1561279296875,0.1376953125,0.46863314509391785,0.2226911187171936,0.0185699462890625,0,1,1,3,19,Attribute Recognition
local,0,25,5439,26924,26924,14,5425,21485,0.0726318359375,0.1988525390625,0.7324640154838562,0.6913030743598938,0.105224609375,0.29541015625,0.7373552918434143,0.7088795304298401,0.0048912763595581055,0,1,1,3,19,Attribute Recognition
local,0,26,5439,26924,26924,14,5425,21485,0.10272216796875,0.0859375,0.4555160105228424,0.21124325692653656,0.150390625,0.1375732421875,0.47774481773376465,0.23098169267177582,0.02222880721092224,0,1,1,3,19,Attribute Recognition
local,0,27,5439,26924,26924,14,5425,21485,0.08355712890625,0.1990966796875,0.7043834924697876,0.6016512513160706,0.11968994140625,0.301513671875,0.7158383131027222,0.6360828280448914,0.01145482063293457,0,1,1,3,19,Attribute Recognition
local,1,0,5439,26924,26924,14,5425,21485,0.016082763671875,0.6640625,0.9763539433479309,10.425874710083008,0.003910064697265625,0.130126953125,0.9708284735679626,8.40324592590332,0.005525469779968262,0,1,1,3,19,Attribute Recognition
local,1,1,5439,26924,26924,14,5425,21485,0.291748046875,0.64013671875,0.6869269013404846,0.5540247559547424,0.483154296875,0.293212890625,0.3776729702949524,0.1532362699508667,0.3092539310455322,0,1,1,3,19,Attribute Recognition
local,1,2,5439,26924,26924,14,5425,21485,0.324951171875,0.65283203125,0.667665421962738,0.5072799921035767,0.436279296875,0.50927734375,0.5386005640029907,0.2947502136230469,0.12906485795974731,0,1,1,3,19,Attribute Recognition
local,1,3,5439,26924,26924,14,5425,21485,0.0205841064453125,0.62646484375,0.968187689781189,7.684736251831055,0.01128387451171875,0.0914306640625,0.8901433348655701,2.0459632873535156,0.0780443549156189,0,1,1,3,19,Attribute Recognition
local,1,4,5439,26924,26924,14,5425,21485,0.068603515625,0.89892578125,0.929094135761261,3.3085811138153076,0.021484375,0.482666015625,0.9573850035667419,5.672679901123047,0.028290867805480957,0,1,1,3,19,Attribute Recognition
