layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,boundary_ratio,boundary_suppression,num_observations
0,0,0.0023215258933189592,0.002306472654862016,0.00028765704441380193,0.0007791601218721998,0.06391152007280942,0.5319246687964454,0.46807530161026123,0.2511317289835947,0.04236476420703273,0.11471956186101173,0.17427069919089713,0.1442524939775467,545.4905123269511,6.1802082211588,0.8410036511903997,0.1589963488096003,4
0,1,0.0006756956775835874,0.0006653199987762331,5.515589803259392e-05,0.00013036957968185072,0.03242548468027001,0.4154358527445826,0.5845641787945348,0.17139410531102994,0.025541744817480058,0.07449108945618094,0.11402451515628484,0.09619066119194031,284.6729047901638,5.010277948701973,0.7468524214802044,0.25314757851979564,4
0,2,0.009872862385871435,0.010864771498779197,0.0016085510720185373,0.004142288992558468,0.11997083942014049,0.3708410073179378,0.6291589886649138,0.22325879318792308,0.04000759683755698,0.08974959213213228,0.124249651713426,0.15187691152095795,800.3676927811528,6.22040776781326,0.5958668487993528,0.4041331512006472,4
0,3,0.0007063391515250109,0.0003219680769691856,2.880366194977003e-05,3.584219452179343e-05,0.05097361448765036,0.36485036850965713,0.6351496439345634,0.0683870436637238,0.007278765371290166,0.023956490171432844,0.03753469226505102,0.2874186336994171,59.30914810784751,3.201989325932961,0.8683348165271135,0.1316651834728865,4
1,0,0.005266090527371511,0.0051137210844746355,0.0010811556639591783,0.0046509496091561055,0.07977688207802244,0.5171356687544151,0.4828643152150833,0.34822389332771264,0.08835090454225333,0.20424561325437157,0.2612685328485348,0.20629242062568665,1253.7017278566966,7.0946744110648945,0.776616036437438,0.22338396356256193,4
1,1,0.005457388782031776,0.0030525268736440025,0.0004394313593954318,0.0008939722003306817,0.17153257025047194,0.6414611811489509,0.358538836245458,0.26470486159388934,0.03224787725103305,0.10207809741150135,0.15753960055732275,0.15367768704891205,506.857655508046,5.555468503385763,0.6973223264540033,0.30267767354599673,4
1,2,0.0036952111875957565,0.003843171621526521,0.0005085071885568233,0.001403216388434659,0.06400381518486362,0.40747911506795903,0.5925208789381243,0.22890228730841708,0.03774675180678825,0.10274324293627161,0.15067079784541768,0.14089283347129822,516.8585669252163,6.091385240388076,0.7297007040178279,0.27029929598217206,4
1,3,0.0022894112918784844,0.002370098977779425,0.00043326110865341086,0.0011966867683933758,0.050975146806240955,0.4796005933037571,0.520399437325672,0.27596413052447694,0.03921384499851947,0.10276292420158793,0.15101181962826557,0.1814899444580078,773.7559546315252,6.546794358063449,0.7136950439738031,0.2863049560261969,4
2,0,0.025693809601439965,0.017180895942789834,0.009790145774661807,0.03805646745100441,0.12167111984289697,0.5834401982310177,0.4165598202614256,0.6543118823843443,0.10776108138726014,0.296275683658995,0.40903036700364825,0.39796532690525055,4146.103455414366,8.30378827426762,0.6863777923046541,0.3136222076953458,4
2,1,0.009214559281686081,0.008692767808887825,0.0029099667365178688,0.008149332438636213,0.08133600840224667,0.4183015312351401,0.5816984273274008,0.528656884741081,0.08502136069999414,0.1966799447828401,0.2868951093191043,0.33119314908981323,4988.823632784698,8.079731254472344,0.677192950792234,0.32280704920776604,4
2,2,0.015049510664528561,0.008583869149731492,0.004930238927037079,0.013276199387920599,0.09320179010522621,0.46975765231190153,0.5302423697220111,0.4820276876032561,0.05473438946228535,0.14908983088956193,0.23731466494560227,0.3136458992958069,2440.1736177283124,7.704071198260514,0.68746751271177,0.31253248728823,4
2,3,0.007953431893707933,0.006890980421257148,0.0028623825427512577,0.007588293757045406,0.06765778113147983,0.4588845253955574,0.5411154795974268,0.48929125620909103,0.052958076040418606,0.16363503736248236,0.2657349808774748,0.30416250228881836,2475.387388949673,7.455684356424035,0.7401879921257045,0.2598120078742955,4
3,0,0.005580076343189785,0.003958113786604404,0.0020389429194783253,0.008194511520941021,0.05806674409247059,0.5257462626664855,0.4742537556040263,0.6030652074104113,0.10765486214197394,0.2715864898033886,0.37591287893112946,0.37608078867197037,8940.930736719376,8.600582030804464,0.7356469388553805,0.26435306114461954,4
3,1,0.015570515396233537,0.002790158036913282,0.0069953658414845495,0.022195987725554082,0.0699825431997233,0.5658812204969322,0.43411873567260073,0.5369742598881158,0.07805809189049152,0.20737094555266566,0.3203203235224946,0.32633422315120697,4089.9643667686523,7.9233820277385005,0.7650586202085892,0.23494137979141078,4
3,2,0.024773887708776914,0.012954229736466778,0.008299583115145797,0.03702672050615942,0.1273921772004981,0.5759363550748513,0.4240637420182299,0.5838334466370056,0.12878513135629335,0.3121944538807714,0.39711105728008517,0.39256323128938675,9777.188357613322,8.606794825086952,0.7249460415558588,0.27505395844414116,4
3,3,0.006434392545415697,0.004270003021051972,0.001266798995139328,0.0026647108998130464,0.05894541692155949,0.3661197753896551,0.6338802340709556,0.4736202084292043,0.05241187132833136,0.15890664946892932,0.25263440146539357,0.29889607429504395,514367.1937567245,8.753399349434012,0.657026071107049,0.342973928892951,4
4,0,0.0899556309082287,0.008785026631771869,0.04488083140921183,0.14539621005391035,0.21013511437570995,0.6480239301336135,0.3519761165488367,0.6098226804900504,0.17013774239634857,0.28471794321694127,0.3896491400832918,0.420047827064991,16804.423447645768,9.134294996997701,0.6898725091201289,0.3101274908798711,4
4,1,0.1217236182912253,0.11933325872155492,0.0815208765798291,0.7914145933150077,0.25930497173929806,0.8786528506231917,0.1213472217124941,0.5472024761089552,0.3249679957870515,0.4335828030364231,0.4840860256996977,0.44903451204299927,50533.85274544844,9.063893683843313,0.6885875686203708,0.31141243137962915,4
4,2,0.023890451011788487,0.002317860419995833,0.011812525174221543,0.05142437843966309,0.09338119930398818,0.5689683232756484,0.43103171383435435,0.5151739877377822,0.09395454008690625,0.2375133272286234,0.3217382217155094,0.33064664900302887,5206.868123526841,7.8081301456273025,0.7848326677573005,0.21516733224269946,4
4,3,0.028839849190411812,0.008739347700447386,0.0070765103835158235,0.024567112985749526,0.14743502995341679,0.5564296185932096,0.4435703885559508,0.38076600323537824,0.06215529396213942,0.152503317857773,0.2247462158192728,0.24697312712669373,1707.7302714673426,7.3204921736850865,0.6585954131720051,0.3414045868279949,4
5,0,0.01470484669162908,0.01532023950865089,0.005550159349949227,0.02586743646739955,0.11074609825980228,0.5000996715013826,0.49990032028845943,0.4095295228342903,0.06154495833687351,0.1911295870233087,0.27163475210331095,0.29286186397075653,4585.013723711275,7.659234309226219,0.6928635551519011,0.3071364448480989,4
5,1,0.09294849683945035,0.03097922862863254,0.059164415653490635,0.460034755745248,0.1984474535849785,0.6968592542160443,0.3031407250748681,0.5838402511016993,0.14747511985190798,0.31566263404265915,0.4325227991498304,0.41061022132635117,22655.053227743472,8.735309434140081,0.689873201427045,0.31012679857295494,4
5,2,0.03243777958746284,0.01763833600383356,0.01821831599898326,0.12779638347697053,0.13689495050306477,0.8285120147296208,0.17148793632404907,0.533765301933839,0.14888463933496512,0.33447187990025684,0.4177750941953463,0.3802063390612602,17287.05951251091,8.245618060401913,0.8342221980362611,0.16577780196373892,4
5,3,0.011591765681084219,0.005645821239132635,0.00533371163528086,0.03816718826324387,0.06178809641264804,0.720151189662139,0.27984878484841624,0.49949410498823776,0.22662808797474196,0.327990226619798,0.3842619268901492,0.38198497891426086,45864.64935863179,8.572098862974725,0.813626237866848,0.18637376213315202,4
6,0,0.0010523604362096069,0.0006879656878469995,0.00041591121641987376,0.0024886537828832855,0.014833628343897195,0.326775128763698,0.6732248380698018,0.6741584617714806,0.1884728845249905,0.4022441453983015,0.5184278908155819,0.4554224833846092,667465.4335071702,10.474107248731055,0.7763481531466515,0.22365184685334846,4
6,1,0.04760106788845065,0.0047022937693431185,0.025214995356645634,0.13896377392161383,0.1253896947936806,0.6423255600628491,0.3576744301965111,0.5631691415159524,0.13448954772110835,0.3383736510410259,0.4041999221013819,0.4005655124783516,18001.8016347174,8.808591241836625,0.7359358478852034,0.26406415211479656,4
6,2,0.00882572296205072,0.006354333054027876,0.0025480834092488883,0.010178062949204739,0.050630088251962496,0.3235830695548143,0.6764169075013914,0.5085912159550724,0.13622776454266153,0.3215662818454685,0.3913921157523338,0.32295070588588715,3516.8067362343686,7.887538814956762,0.6434730733645951,0.35652692663540486,4
6,3,0.09101665858152641,0.011916332767633719,0.04177227824944435,0.18983784397998493,0.19760191444745445,0.5866296484262158,0.41337036320126125,0.5308062560980688,0.10488121998989258,0.2733501232758588,0.3593412911083409,0.33392323553562164,4035.8313381283315,8.085404198131789,0.6389804694617637,0.3610195305382363,4
7,0,0.020509063533938002,0.00044249723373921904,0.012957565155641492,0.12186626918426513,0.05202910302461797,0.7513467723109069,0.24865323369725495,0.6341088764215074,0.1358756771704299,0.3288205534067684,0.42938052228468093,0.42241138219833374,45198321.34213322,11.236072407351468,0.8567611719054397,0.1432388280945604,4
7,1,0.029177611298130457,0.0058865562967831304,0.01693177030399211,0.08129905326505513,0.10193259024505992,0.7087520793091057,0.29124788626398196,0.6673997321192094,0.14477897639635404,0.34288708535221313,0.4480953389981756,0.44698865711688995,65462.1872762114,10.014649777969463,0.8131239406888381,0.1868760593111619,4
7,2,0.036134288114802064,0.017632195768155175,0.01765029861965421,0.05948626301003095,0.14698720895324283,0.6960495537554083,0.3039504224127267,0.6104243285445915,0.15350822299030453,0.28326645562892994,0.39004973329637815,0.4001098871231079,9442.25452489274,8.743152007796366,0.7973877054321828,0.20261229456781715,4
7,3,0.08405624692901077,0.030810214200201094,0.04265087286821255,0.2701003866997546,0.23885218414303125,0.7169592813705119,0.2830407355701205,0.6814007727644614,0.3306939534119647,0.46087478569255974,0.5477933530881662,0.5170722529292107,75854.82318461045,10.272589076054544,0.6757470236402486,0.32425297635975137,4
8,0,0.031041160105781,0.012493016870911198,0.01723613080988175,0.11024512717706866,0.11768436282515372,0.4930382225194378,0.5069617735604216,0.5771142676860157,0.14354856670348692,0.33910409527929025,0.43919639593191323,0.40711116790771484,23331.759808195915,9.164271791798809,0.7135707490632472,0.28642925093675276,4
8,1,0.06478034044759895,0.006389263839828465,0.029818266200975083,0.13662949202573976,0.15545486933637656,0.6114068993807187,0.38859306126383114,0.6383660287346913,0.1739045878915944,0.40441648274984376,0.493517050588267,0.4768407270312309,167786.71320032998,10.203709917661012,0.7306231004938119,0.26937689950618815,4
8,2,0.00890367700447028,0.007265815674694785,0.004895077091703334,0.0583167097182591,0.059455213400644025,0.4781403532526808,0.5218596156821173,0.7137036622247132,0.20666709446302406,0.44949725663944906,0.5563186598332026,0.49343372136354446,46186126.529377155,11.490163144438329,0.721106725958174,0.27889327404182596,4
8,3,0.08263850932607086,0.029561678716888702,0.053278779449423545,0.48633815321757784,0.19325608189172974,0.8741718333934004,0.12582818179437322,0.6804903338405376,0.28618564369921934,0.5085444194344715,0.5852184273554478,0.5231524631381035,221512.86251909795,11.060810003448701,0.7739564741242405,0.22604352587575946,4
9,0,0.06889688632047991,0.0065341938067188625,0.046418325365192074,0.31721050732190315,0.1413624873922905,0.6192031585000783,0.3807968381269935,0.5978807382709006,0.11854863290558877,0.35957799845432903,0.46752630489217956,0.44866057485342026,62195.61679102919,9.313521773205586,0.741309037318756,0.25869096268124403,4
9,1,0.0698152457924079,0.0011043557095304752,0.043737795352732416,0.2574491037508017,0.12271150626431628,0.6644813469496086,0.3355186357337068,0.5286448709657584,0.1029113396924668,0.2851553775455439,0.3834530996797063,0.37634195387363434,17130.718818349855,8.681790080939452,0.7806549016149129,0.21934509838508714,4
9,2,0.03594163951915424,0.011377790126949557,0.01642549564347903,0.0845368944312171,0.12674743892895762,0.5007189968164734,0.4992810067878075,0.49007253406927487,0.10808867622117159,0.2857978229196102,0.3632613622683781,0.3422807678580284,7894.116869831709,7.880610698733984,0.726282762459293,0.273717237540707,4
9,3,0.047458478280029776,0.009520716489424921,0.030525238983464566,0.2678498790046597,0.13594353163620812,0.6034438864528204,0.3965561444139869,0.6559926361090151,0.16868960389846135,0.4211877449793855,0.5164407426668346,0.4956055358052254,185603.2425649364,10.867179672007225,0.7554591979900522,0.2445408020099478,4
10,0,0.009968684689898435,0.010015540011931143,0.0022556999798290915,0.004823519689903919,0.08385552498761722,0.36760715272166367,0.6323928328795884,0.3229079256233518,0.04478597774166427,0.12335422315459435,0.17414505401904748,0.2342483401298523,1485.7395649794498,7.124413187285762,0.6592414672623734,0.3407585327376266,4
10,1,0.07416860119992372,0.0010282752013230736,0.055267177049507094,0.5833019935033228,0.1308106998953664,0.6448226442968026,0.3551773977270221,0.5692640537026845,0.2525118179123904,0.3915146333984958,0.45886396805967966,0.4279019758105278,51428.75249258245,9.462035361469068,0.7757052197366567,0.22429478026334324,4
10,2,0.002565236362575903,0.002581881885355539,0.0012757480851054994,0.01280225895233264,0.034138556256466876,0.3953430132770918,0.6046569868161701,0.5684309981929374,0.157864139405455,0.3564551358285127,0.43650094670339207,0.4277934655547142,24455267.27854609,11.552207465684079,0.7758671270409482,0.22413287295905185,4
10,3,0.009684721100866616,0.0032582989370906535,0.004385808102522305,0.021102116935951556,0.06204338673317652,0.49554496378387947,0.5044549778581672,0.5872054786707909,0.16658120077684502,0.3501815344255158,0.47688907940356634,0.39416277408599854,8831.729078522765,8.833120070573939,0.8227758702379672,0.1772241297620328,4
11,0,0.0032076003181901545,0.0035700419811008416,0.000885589336991934,0.00429032488950409,0.042818967816754816,0.23643578376852484,0.7635642114691703,0.3557514403921597,0.08644579512289446,0.1925364817088927,0.24855694086950714,0.26583676040172577,6699.093994881282,8.067784827850309,0.6576493145149206,0.34235068548507935,4
11,1,0.00560977262080534,0.000737246230093806,0.003077610909262573,0.027151301603068195,0.04092706032635783,0.6040800571907061,0.3959199301500631,0.4292743989079223,0.12076362083021971,0.2681702029040509,0.3226006435117952,0.31442881375551224,14086.59675113727,8.168491029476941,0.8829670867749981,0.11703291322500181,4
11,2,0.004628989886203557,0.005090092860228337,0.001790576581722228,0.01574199341895936,0.05001363601736512,0.42872139050450825,0.5712785930453507,0.5797070103492962,0.1663797159977351,0.3684610024359569,0.4717348834575637,0.3954536244273186,14516181.900731685,10.919318573361004,0.778257801467735,0.22174219853226493,4
11,3,0.032363128650223366,0.0003790539225077005,0.021053117821321445,0.21237040914722677,0.08816265153227551,0.7117566601733437,0.28824331609163967,0.44769328931735236,0.1273452782742298,0.26936810616822543,0.32924272420554546,0.36799976229667664,96599.66277666547,9.849754904035917,0.8464440222036123,0.1535559777963877,4
12,0,0.006301740511667285,0.002493487817751102,0.0018367540350481273,0.008445744636233082,0.062481092636776286,0.482074986575895,0.5179250038404942,0.36848232559073824,0.10143177434347524,0.1943424593475713,0.24500395729053612,0.26064433157444,4092.0122627103187,7.948148872022922,0.8498331861809595,0.15016681381904054,4
12,1,0.011406213804875576,0.0018964159780340455,0.005760865221942294,0.042638997227815174,0.06021158336989563,0.3243007800896459,0.6756992100130386,0.36841479007774425,0.08874742784563106,0.1986974734469365,0.25402139892909426,0.3009944558143616,28434.909847431154,8.6481012366275,0.7315081760207821,0.2684918239792179,4
12,2,0.036719158739696785,0.0011273876689481405,0.021815318150707735,0.15080792456002748,0.10786932613155754,0.6635422740354325,0.33645773241554805,0.46933564552971496,0.1296152993307442,0.2883589401822403,0.3520629945836647,0.3615950420498848,31884.22892727642,9.021195344180331,0.8225321053340507,0.17746789466594926,4
