layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
0,0,0.051296444396182805,0.006677848276668591,0.0216611152516037,0.21499108187447646,0.7102552160326083,0.2897447848863444,0.41420886656084266,0.25798437669873236,0.6981156629041481,0.3018843370958519,80
0,1,0.042767864512933115,0.0031451354139253812,0.019902658604376976,0.20882789742922347,0.6649960960049301,0.33500390056406076,0.3341707152921336,0.20356854051351547,0.5899666591371964,0.41003334086280363,80
0,2,0.04029779598002099,0.01461915416768643,0.014282908188704766,0.22510423350954648,0.5527102205810681,0.4472897781115234,0.3435394962775023,0.2179510310292244,0.5044751471766178,0.4955248528233822,80
0,3,0.03941405506859143,0.0015860293114418858,0.018366863054250688,0.1952491678308415,0.6013086824178631,0.3986913092704737,0.31939742660392917,0.21423851996660231,0.561776791441125,0.438223208558875,80
1,0,0.0846313388949876,0.032028581444371665,0.03979539167215979,0.2710303135726301,0.6698063303179194,0.33019366873035133,0.5294405301779568,0.3483291082084179,0.5532005430353774,0.44679945696462264,80
1,1,0.0957247763755523,0.04784586666364764,0.0452368284777797,0.31859852250322185,0.7798452120774471,0.22015478950705103,0.5583490074131132,0.37937467377632855,0.5561157943779758,0.4438842056220243,80
1,2,0.07880123413108464,0.03337413824888487,0.035860603519257586,0.2812940740785512,0.6844429322888906,0.3155570743239945,0.4772526552111234,0.3286446412559599,0.5249197790400661,0.4750802209599339,80
1,3,0.09809289411565145,0.03332077122150869,0.04647416184197917,0.28842647652539377,0.7174829969178848,0.28251701346472824,0.5575271553977996,0.3852925019338727,0.5600067791761567,0.43999322082384323,80
2,0,0.21133108973155465,0.21228425281737118,0.07554548310948347,0.7459523758841047,0.8860196170434813,0.11398038583266124,0.3711582960703334,0.3493449129164219,0.1815888604211275,0.8184111395788725,80
2,1,0.16741668404349025,0.16376224034571735,0.05840776924498842,0.7471388596760967,0.8954546180481125,0.10454539443331094,0.30414952717239185,0.33425797410309316,0.18689534779427075,0.8131046522057293,80
2,2,0.14212981259877216,0.13795731257512842,0.049443103201896973,0.7455285845108264,0.8965668447880513,0.10343314887826235,0.27517930051472467,0.3304939839988947,0.19610988028004256,0.8038901197199575,80
2,3,0.1325285777282213,0.13503547693121157,0.0444680348053976,0.7215909386558037,0.8726755315527708,0.12732447512589667,0.2679283418473684,0.3167588826268911,0.20909860937640062,0.7909013906235993,80
3,0,0.22560455926776898,0.20035968579021002,0.10275986101260333,0.6591172961021503,0.8771572625410103,0.122842738063014,0.4527603376306102,0.39963671639561654,0.26713625436613314,0.7328637456338669,80
3,1,0.21072790712356632,0.20711898066192133,0.09100988571503907,0.6041147742262756,0.7747439390244669,0.2252560549896958,0.4591757333366802,0.39174094535410403,0.2448657379085125,0.7551342620914875,80
3,2,0.19048991336421908,0.16808569085293545,0.08211261314346378,0.6717031534877334,0.8879634636691106,0.11203653335680808,0.3938470625009138,0.3771280363202095,0.25120747818352607,0.7487925218164739,80
3,3,0.17788411169876103,0.14889772415296654,0.07731985128668106,0.6450645782783312,0.8633556181469737,0.1366443928036602,0.3650893035152938,0.3582585733383894,0.2721619022400655,0.7278380977599345,80
4,0,0.22585860958842202,0.20903115182895168,0.10355041490734666,0.6017512277382389,0.8316631273499961,0.1683368836685739,0.5268369931314567,0.42562897354364393,0.28482152338159794,0.7151784766184021,80
4,1,0.17113098610300365,0.17909938911201542,0.061956297050259214,0.5170910592435415,0.7619172141327768,0.2380827882525307,0.47116194151239926,0.3451610986143351,0.31487552142768294,0.6851244785723171,80
4,2,0.2122118325447162,0.16464907908111473,0.10563744534746651,0.564297890911072,0.817330547516816,0.18266946189440852,0.5069881923929629,0.42663405612111094,0.3140875931644599,0.6859124068355402,80
4,3,0.1826441597435634,0.1627543819288126,0.07895908007074189,0.5775340412817365,0.8129105195607969,0.18708947437838075,0.44203601614912785,0.3695624958723783,0.2934503753822861,0.7065496246177139,80
5,0,0.1809556351329784,0.18464744165467517,0.06857666311714837,0.5909326893207576,0.7282700909374343,0.27172990368444006,0.37629774863395177,0.3397121734917164,0.21855715072517765,0.7814428492748224,80
5,1,0.24446931620816192,0.24293420599467333,0.10376213230975714,0.6979309545077312,0.9061667083575171,0.09383327564265317,0.45799005038477236,0.4084379874169827,0.2458310714525327,0.7541689285474673,80
5,2,0.1849938229727922,0.19049337771461128,0.07339930821779697,0.6426258762127646,0.8946749335135926,0.10532505780041819,0.4102941776197341,0.3797255828976631,0.29579125802335343,0.7042087419766465,80
5,3,0.2259632757542366,0.2304462738655646,0.09829264694816035,0.6349940485833407,0.8279532530735956,0.17204675754035884,0.44191802068516123,0.3900405753403902,0.25208494168004913,0.7479150583199509,80
6,0,0.17431133719093334,0.15222286727751017,0.07652923992494207,0.6258827580758359,0.8467082051957175,0.15329179126386452,0.4114277555179419,0.38984999544918536,0.287745476863691,0.712254523136309,80
6,1,0.2332259051289099,0.23222582390483404,0.09922437480290594,0.6818723058684685,0.8959809466459306,0.10401905928429918,0.46594416064807814,0.4010794561356306,0.2554825203185214,0.7445174796814785,80
6,2,0.1659956667219014,0.14588336779764255,0.06948982822300914,0.6346686246994979,0.8165914229558234,0.18340857592885368,0.38320130892229515,0.3644957114011049,0.24755197619746427,0.7524480238025357,80
6,3,0.17533934367674592,0.14991467714715695,0.07595603611034672,0.66143970160799,0.8763373140283385,0.12366268526719697,0.3851951089510334,0.3586185101419687,0.2644525808845267,0.7355474191154732,80
7,0,0.19945185213672356,0.17420001448781064,0.08445077840621054,0.6677899747912442,0.9164475651271061,0.08355243349697858,0.4234052481992818,0.3888246059417725,0.28432472496443706,0.715675275035563,80
7,1,0.20638564439003435,0.17646986733851205,0.08661757466210925,0.6831086917282488,0.9033700807260134,0.09662991711077296,0.41645589351333356,0.386196731030941,0.26154594784064245,0.7384540521593576,80
7,2,0.16992052256329676,0.1479643526069636,0.06819818607044295,0.6670868123937892,0.886077009457731,0.11392299655968345,0.3667108427247769,0.36546919830143454,0.26589388946639614,0.7341061105336039,80
7,3,0.18340794723691203,0.17429738572460335,0.07032750242975619,0.6789341408105173,0.8791044502712222,0.12089554572041468,0.3776000047404079,0.3621340401470661,0.24267595599857433,0.7573240440014256,80
8,0,0.2496268870146857,0.24952679633587405,0.10482406814673673,0.6487653421247404,0.812797829663543,0.18720216261984607,0.4877636987690031,0.39841557405889033,0.2282809032172229,0.7717190967827772,80
8,1,0.22714079177929833,0.21062248336080963,0.09452433275451277,0.6803424550069439,0.8512640309811008,0.14873597094546726,0.4254798726949887,0.3731135237962008,0.22833924914205528,0.7716607508579447,80
8,2,0.23510330232446655,0.20988450173773449,0.10388143450670953,0.6536558813827423,0.8604865810809585,0.13951342014373697,0.47424091445014593,0.41228800527751447,0.2502100185444201,0.74978998145558,80
8,3,0.18286822392415011,0.18078503228084594,0.06858894641353179,0.5757189395987542,0.7579413290794373,0.242058666194486,0.4417800130770275,0.3603182535618544,0.2544199487649978,0.7455800512350022,80
