name,label,bin,x,mean_density
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),0,0.0025,6.2294819058045595e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),1,0.0075,4.737397180828598e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),2,0.0125,5.20878214566827e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),3,0.017499999999999998,4.616779067743794e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),4,0.0225,1.202112955521801e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),5,0.0275,8.22901545990085e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),6,0.0325,7.128134484446491e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),7,0.037500000000000006,5.199584977942452e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),8,0.0425,4.939206186398744e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),9,0.0475,4.1672421389193914e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),10,0.052500000000000005,4.934490951719843e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),11,0.0575,4.3262267419257635e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),12,0.0625,4.692608269708996e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),13,0.0675,4.996218535779917e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),14,0.07250000000000001,4.875887644370128e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),15,0.0775,4.8229914649969686e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),16,0.0825,5.376013226460989e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),17,0.08750000000000001,5.595771962621906e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),18,0.0925,6.123471020405954e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),19,0.0975,4.971959242539015e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),20,0.10250000000000001,6.5302321477897096e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),21,0.1075,5.000932560506044e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),22,0.1125,5.531734635561796e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),23,0.11750000000000001,7.694354397753524e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),24,0.1225,1.0582828227067213e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),25,0.1275,7.5026020518699205e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),26,0.1325,5.7088007484448355e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),27,0.1375,5.357682653084339e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),28,0.14250000000000002,5.058612129817318e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),29,0.1475,6.5009575840641835e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),30,0.1525,6.287642593503863e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),31,0.1575,5.113074353500581e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),32,0.1625,5.668350183896109e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),33,0.1675,5.728502969759575e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),34,0.17250000000000001,5.430498918355754e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),35,0.17750000000000002,5.603394795018955e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),36,0.1825,5.473109922604635e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),37,0.1875,6.1380714717935395e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),38,0.1925,6.343788300000597e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),39,0.1975,5.534367492795614e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),40,0.2025,0.00014058131098084101
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),41,0.20750000000000002,6.475004949736883e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),42,0.2125,7.055663250607072e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),43,0.2175,0.0009706624228523911
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),44,0.2225,2.812741266617585e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),45,0.2275,1.3291986890960419e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),46,0.2325,1.1602635303071501e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),47,0.23750000000000002,8.630447544939151e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),48,0.2425,9.141437983219345e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),49,0.2475,9.070339274330763e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),50,0.2525,1.0369223023839627e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),51,0.2575,1.0796667213851055e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),52,0.2625,1.2940882502984355e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),53,0.2675,0.00035785549841550946
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),54,0.2725,0.00024735071961653636
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),55,0.2775,1.2211740925392536e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),56,0.28250000000000003,1.1542775350140541e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),57,0.28750000000000003,1.2197064734209562e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),58,0.2925,1.1685018372580608e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),59,0.2975,1.284100211965519e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),60,0.3025,1.387768348389987e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),61,0.3075,1.231988952505552e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),62,0.3125,1.2183292061048892e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),63,0.3175,2.6426789872857626e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),64,0.3225,1.1381138392607681e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),65,0.3275,1.0438118221957535e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),66,0.3325,6.729882443323731e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),67,0.3375,6.72312177942201e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),68,0.3425,6.682664336819601e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),69,0.34750000000000003,7.616718708699669e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),70,0.35250000000000004,6.94348448502881e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),71,0.3575,8.722835900698556e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),72,0.3625,8.709976165326744e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),73,0.3675,9.471361149085819e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),74,0.3725,1.0800546890875142e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),75,0.3775,9.044919741947005e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),76,0.3825,9.6695271817485e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),77,0.3875,9.520466976807387e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),78,0.3925,1.0905628122210536e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),79,0.3975,1.2475150859765044e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),80,0.4025,1.1916338605390462e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),81,0.40750000000000003,1.1746519638628733e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),82,0.41250000000000003,1.74438191606896e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),83,0.41750000000000004,1.6933030760161012e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),84,0.4225,1.0694372252016495e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),85,0.4275,7.745319245649235e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),86,0.4325,6.332679666749235e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),87,0.4375,6.532530213527414e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),88,0.4425,6.878024448399499e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),89,0.4475,7.604272793417165e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),90,0.4525,7.69931271601568e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),91,0.4575,8.102066723430263e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),92,0.4625,7.979319564453493e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),93,0.4675,7.681916973264638e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),94,0.47250000000000003,8.392646220402509e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),95,0.47750000000000004,7.873804796482936e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),96,0.4825,8.329325412757629e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),97,0.4875,8.60622191924319e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),98,0.4925,9.868315146377427e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),99,0.4975,8.776819738289174e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),100,0.5025,1.1498702666098584e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),101,0.5075,1.1471726988280092e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),102,0.5125,2.383055652899202e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),103,0.5175,1.0542131738995003e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),104,0.5225,9.344739477715588e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),105,0.5275,6.664947282583203e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),106,0.5325,6.350352058299384e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),107,0.5375,6.19658963582229e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),108,0.5425,6.326860329863848e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),109,0.5475,5.805656915721816e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),110,0.5525,6.490891532199125e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),111,0.5575,6.7235965356563355e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),112,0.5625,6.817885280595094e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),113,0.5675,7.1942075205047984e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),114,0.5725,8.466415530555033e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),115,0.5775,7.036475413510093e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),116,0.5824999999999999,7.493083233254895e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),117,0.5874999999999999,7.461182966445838e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),118,0.5924999999999999,8.047546608785134e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),119,0.5974999999999999,7.905649779006905e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),120,0.6024999999999999,1.1825238029164861e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),121,0.6074999999999999,1.456451543292912e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),122,0.6124999999999999,1.9458704693014234e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),123,0.6174999999999999,9.014903233557042e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),124,0.6224999999999999,9.447316382907697e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),125,0.6275,6.07721163500433e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),126,0.6325,6.482284334197175e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),127,0.6375,8.109405858444266e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),128,0.6425,7.35435040561632e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),129,0.6475,6.75009368933388e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),130,0.6525,6.897722771879801e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),131,0.6575,7.59328889086776e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),132,0.6625,7.152546329182639e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.0108),133,0.6675,6.916934450730748e-06
