name,label,bin,x,mean_density
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),0,0.0025,5.620550674783382e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),1,0.0075,4.324930476481573e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),2,0.0125,4.770386794916703e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),3,0.017499999999999998,4.293545430300583e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),4,0.0225,1.3565601550778541e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),5,0.0275,8.90979466459742e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),6,0.0325,7.642667640084255e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),7,0.037500000000000006,5.166413627323761e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),8,0.0425,4.877711445163056e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),9,0.0475,4.162187646475754e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),10,0.052500000000000005,5.074000394448116e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),11,0.0575,4.215415458475036e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),12,0.0625,4.3804934851518084e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),13,0.0675,4.737802880429497e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),14,0.07250000000000001,4.432729233323178e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),15,0.0775,4.3966249571829915e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),16,0.0825,4.634201774576598e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),17,0.08750000000000001,4.6878053743577245e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),18,0.0925,5.235868842744042e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),19,0.0975,4.003120758560337e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),20,0.10250000000000001,5.281416735312762e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),21,0.1075,3.929115568520761e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),22,0.1125,4.368116610261755e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),23,0.11750000000000001,6.86354331946859e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),24,0.1225,1.0625992834840353e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),25,0.1275,7.040117671814576e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),26,0.1325,5.091156822345511e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),27,0.1375,4.50085028904011e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),28,0.14250000000000002,4.1073058899395875e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),29,0.1475,4.854728777965127e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),30,0.1525,4.591262950270902e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),31,0.1575,3.7181586744087066e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),32,0.1625,4.0734329210018975e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),33,0.1675,4.059460102163419e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),34,0.17250000000000001,3.750953993630901e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),35,0.17750000000000002,3.778806651715578e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),36,0.1825,3.545306632141936e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),37,0.1875,3.7884527322213605e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),38,0.1925,4.129706979938419e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),39,0.1975,3.3878470527984713e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),40,0.2025,9.159942871000177e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),41,0.20750000000000002,3.058805008647271e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),42,0.2125,3.405974415012939e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),43,0.2175,0.0008866063068191059
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),44,0.2225,8.391668708489825e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),45,0.2275,4.7575714298935575e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),46,0.2325,3.813594893082544e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),47,0.23750000000000002,3.1101084557251724e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),48,0.2425,3.084683190276597e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),49,0.2475,3.153627744723053e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),50,0.2525,3.413147835219986e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),51,0.2575,3.4731595763202805e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),52,0.2625,3.874771778100694e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),53,0.2675,9.871405474573944e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),54,0.2725,0.0004363904464688468
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),55,0.2775,3.680558636785593e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),56,0.28250000000000003,3.3769496375108635e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),57,0.28750000000000003,3.4033949012674773e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),58,0.2925,3.098366424377933e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),59,0.2975,3.294731040373985e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),60,0.3025,4.499462355462518e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),61,0.3075,3.471929647145901e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),62,0.3125,3.384018490188672e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),63,0.3175,1.1627132900165244e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),64,0.3225,6.283226152195961e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),65,0.3275,5.4117662914775015e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),66,0.3325,3.865253022792915e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),67,0.3375,3.8362600207619835e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),68,0.3425,3.6727326460095355e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),69,0.34750000000000003,4.148195038007023e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),70,0.35250000000000004,3.6562010206710383e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),71,0.3575,4.589337062757945e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),72,0.3625,4.30752519215665e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),73,0.3675,4.695345329050074e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),74,0.3725,5.418886010894701e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),75,0.3775,4.338410267986806e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),76,0.3825,4.408453215936399e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),77,0.3875,4.227749351619943e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),78,0.3925,4.987584231587659e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),79,0.3975,5.850503287417398e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),80,0.4025,5.643965453470758e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),81,0.40750000000000003,5.569661035614055e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),82,0.41250000000000003,9.745296633159991e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),83,0.41750000000000004,1.058893703235039e-05
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),84,0.4225,7.785076864560583e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),85,0.4275,5.62108578248756e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),86,0.4325,4.910211211089128e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),87,0.4375,4.966338207980568e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),88,0.4425,5.201751816587473e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),89,0.4475,5.447977400763193e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),90,0.4525,5.449999629750632e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),91,0.4575,5.582108672440102e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),92,0.4625,5.4771531462652745e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),93,0.4675,5.043087412559544e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),94,0.47250000000000003,5.472533173035897e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),95,0.47750000000000004,4.963908200547199e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),96,0.4825,5.145074835257089e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),97,0.4875,5.322521928974311e-06
L0-KV3,L0-KV3 (spiky_readout_score=0.00968),98,0.4925,5.943436690358794e-06
