name,label,bin,x,mean_density
L16-KV2,L16-KV2 (spiky_readout_score=1.35),0,0.0025,0.0004535510105857351
L16-KV2,L16-KV2 (spiky_readout_score=1.35),1,0.0075,6.352580973510515e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),2,0.0125,4.711901035696948e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),3,0.017499999999999998,5.588860868702536e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),4,0.0225,1.5269241941950895e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),5,0.0275,8.319925353106328e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),6,0.0325,8.606390114859355e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),7,0.037500000000000006,3.503184419376534e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),8,0.0425,5.161133783206293e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),9,0.0475,1.4359182744426236e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),10,0.052500000000000005,2.9936911514840047e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),11,0.0575,2.593666132660084e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),12,0.0625,3.006950427066256e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),13,0.0675,2.0953885077850437e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),14,0.07250000000000001,2.307374390600866e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),15,0.0775,9.742222622272883e-08
L16-KV2,L16-KV2 (spiky_readout_score=1.35),16,0.0825,2.043713404223776e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),17,0.08750000000000001,3.0652002789923115e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),18,0.0925,2.3175452566549991e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),19,0.0975,3.052253865527226e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),20,0.10250000000000001,4.305877447612667e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),21,0.1075,2.845151550547241e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),22,0.1125,4.928438553771944e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),23,0.11750000000000001,1.31580709096722e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),24,0.1225,8.371780312797585e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),25,0.1275,7.754133853105876e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),26,0.1325,3.534788624343881e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),27,0.1375,3.688068552776258e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),28,0.14250000000000002,3.397719307177535e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),29,0.1475,4.4257762255028865e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),30,0.1525,3.538555150482482e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),31,0.1575,3.9511203198117073e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),32,0.1625,2.870540082458969e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),33,0.1675,3.588425069470499e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),34,0.17250000000000001,4.0028465316968974e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),35,0.17750000000000002,2.0234448833938196e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),36,0.1825,2.2996285460002192e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),37,0.1875,3.025697635296508e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),38,0.1925,1.956338908014134e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),39,0.1975,6.087416051871384e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),40,0.2025,0.00013245979882827084
L16-KV2,L16-KV2 (spiky_readout_score=1.35),41,0.20750000000000002,8.501096898174052e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),42,0.2125,7.546601565877609e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),43,0.2175,0.0008698261680949924
L16-KV2,L16-KV2 (spiky_readout_score=1.35),44,0.2225,1.6560517589628683e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),45,0.2275,1.4261851978756925e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),46,0.2325,1.0680910581381146e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),47,0.23750000000000002,7.626104283937301e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),48,0.2425,6.746980589460756e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),49,0.2475,6.973391078547917e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),50,0.2525,2.8675282009211447e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),51,0.2575,5.203099371036452e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),52,0.2625,4.1565338041290746e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),53,0.2675,4.60100679638182e-05
L16-KV2,L16-KV2 (spiky_readout_score=1.35),54,0.2725,0.00038332391737202646
L16-KV2,L16-KV2 (spiky_readout_score=1.35),55,0.2775,9.772207520646653e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),56,0.28250000000000003,1.9816150148090273e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),57,0.28750000000000003,1.0909867082123777e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),58,0.2925,1.0701330584847061e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),59,0.2975,1.8169853248650725e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),60,0.3025,1.1097678631293611e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),61,0.3075,2.3764908598471786e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),62,0.3125,1.4378791308087915e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),63,0.3175,2.4255663029850083e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),64,0.3225,6.700845968258104e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),65,0.3275,1.1912411821413116e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),66,0.3325,5.799453189427238e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),67,0.3375,1.3400589945636706e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),68,0.3425,2.3727647757709747e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),69,0.34750000000000003,1.3629725401642645e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),70,0.35250000000000004,2.6687256347658816e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),71,0.3575,1.2494609369996721e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),72,0.3625,3.5102450850794345e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),73,0.3675,1.2527785011278475e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),74,0.3725,6.678999111236246e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),75,0.3775,1.0501739708956848e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),76,0.3825,9.053058594840227e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),77,0.3875,1.5804862368692544e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),78,0.3925,1.2992432354102284e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),79,0.3975,6.150805411664351e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),80,0.4025,2.212861023817173e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),81,0.40750000000000003,1.3679561387139723e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),82,0.41250000000000003,2.3885321971712462e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),83,0.41750000000000004,1.3457140316372066e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),84,0.4225,1.0932126234105714e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),85,0.4275,9.608654149165626e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),86,0.4325,1.608210161358719e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),87,0.4375,1.1163969233507487e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),88,0.4425,7.040695077112755e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),89,0.4475,3.5721015174366197e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),90,0.4525,6.824377098979539e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),91,0.4575,4.0739340688235514e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),92,0.4625,5.093028495447729e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),93,0.4675,4.190240454298484e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),94,0.47250000000000003,9.118859216934132e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),95,0.47750000000000004,5.889567335413761e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),96,0.4825,1.1811590557694477e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),97,0.4875,5.377929740900202e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),98,0.4925,9.281406282265639e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),99,0.4975,6.785182259859215e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),100,0.5025,2.1449220152395095e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),101,0.5075,1.1270979476713755e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),102,0.5125,2.023893249055878e-06
L16-KV2,L16-KV2 (spiky_readout_score=1.35),103,0.5175,7.660750459389679e-07
L16-KV2,L16-KV2 (spiky_readout_score=1.35),104,0.5225,7.120763346587669e-07
