layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
0,0,0.9996841936736126,0.9996529073131253,0.883338049964576,0.015997688239879466,0.883609341352623,0.5500768557805835,0.08136216085404158,0.13569810008630157,4
0,1,0.9646660143262469,0.9978306350046282,0.5373849556125672,0.025076594537939905,0.5396535631562698,0.5389329182878665,0.04873944027349353,0.09425572329200804,4
0,2,0.9966779155901286,0.997863988004851,0.5911044086136477,0.028588599632555063,0.5928893120418369,0.4118794520985402,0.10338721703737974,0.14713591430336237,4
0,3,0.7496266751114556,0.9993515469486132,0.4666820780307933,0.018857065224481034,0.4668738587630383,0.46892141651465813,0.052501059137284756,0.09611016837880015,4
1,0,0.9988467436542903,0.9996298365235774,0.7472265693732633,0.02247091095723574,0.7477456352020078,0.5796595389437927,0.065229790401645,0.11022143810987473,4
1,1,0.9854443984999126,0.9994090020427822,0.680624386522696,0.01622695809146705,0.682729782752158,0.5229193771542122,0.07673500198870897,0.1289364043623209,4
1,2,0.9992655105294216,0.9997207913891353,0.7353671905214141,0.01915348551494719,0.7358300239463285,0.5270969476631471,0.04527807398699224,0.09357172495219857,4
1,3,0.9978348232966141,0.9986082087569623,0.7406098597954294,0.023991144619658563,0.7416556061419373,0.5045308848921689,0.058988770470023155,0.10925143933854997,4
2,0,0.9941481169071862,0.9991203554791761,0.8826171990374921,0.026057586454709045,0.8870485192997992,0.36067300294728966,0.11793138179928064,0.20656442642211914,4
2,1,0.9972191672041179,0.9974599840750502,0.8638211269374612,0.02989495611088232,0.8660908758611001,0.39155133900972516,0.07110470577026717,0.11964789644116536,4
2,2,0.9990558240755387,0.9992448284394563,0.8944517089144175,0.025494535643845007,0.8952401876031508,0.48682476647023776,0.08623814536258578,0.154496842995286,4
2,3,0.9950776105198254,0.9984047404365315,0.8517900092678861,0.022607585784795013,0.8560079119904115,0.45349722188348046,0.0679377163760364,0.1389542007818818,4
3,0,0.9898541212230683,0.9991349964882392,0.847525378889874,0.020751846804688057,0.8527729333310683,0.4866675361918865,0.06140662569669075,0.11533520731609315,4
3,1,0.9871943589547286,0.9879237146781819,0.8218538300771051,0.026808229396892484,0.8322270742159084,0.45391301056878397,0.06755119236186147,0.13357121590524912,4
3,2,0.9961767573446542,0.9964994598959002,0.8056786384989,0.014976735212608974,0.8085959773878075,0.5761638245396518,0.06513239815831184,0.11864503659307957,4
3,3,0.9960813717046246,0.9975773856150749,0.8934010186823874,0.020759859997199405,0.8968719345295391,0.486091765873784,0.04499474347448995,0.10046460566081805,4
4,0,0.9947743427238271,0.9986991818668928,0.8957660605589488,0.020217718833107905,0.8999051034627528,0.5202202287988721,0.07932268362492323,0.11142934113740921,4
4,1,0.8424436949945961,0.9044964535026806,0.5791875125457076,0.02442164668302075,0.6810619619906362,0.1752520561260872,0.05734223034232855,0.15740660950541496,4
4,2,0.9951154125823596,0.995426467017329,0.7831466809259945,0.01813365570099547,0.786577262068104,0.5539117948485112,0.02920030418317765,0.05749161774292588,4
4,3,0.9863362690094702,0.984125963910254,0.6397546325154216,0.024418551501040598,0.6470546555223564,0.3975014388747095,0.030950109008699656,0.05907234130427241,4
5,0,0.9663261476413434,0.9852457295814092,0.6657196108237634,0.024709134493861012,0.68471125125118,0.47013018601722584,0.06402391358278692,0.10581399593502283,4
5,1,0.9980800956484299,0.9978115945484568,0.8839614117434881,0.016101217741055114,0.8856186926790481,0.5517705879838063,0.052774243988096714,0.08097804430872202,4
5,2,0.979978911197262,0.9877790737014193,0.7922965506853971,0.02560577680338155,0.8066621582624353,0.4329923467850582,0.06003270857036114,0.13166808243840933,4
5,3,0.9721587248157818,0.9711603131016315,0.8318039078386619,0.02333235332907106,0.8547186773408931,0.38914012321507135,0.023514873697422445,0.056440722837578505,4
6,0,0.9956206386540479,0.9970181462376404,0.9233019646542826,0.024155978861873883,0.9273877827722974,0.47726836952594376,0.01683373221385409,0.04877800019676215,4
6,1,0.9984425588514823,0.9983646703167279,0.8986308643618321,0.009426996692169258,0.8999566259137448,0.514454411850797,0.05814799666404724,0.09116095304489136,4
6,2,0.9926790933875731,0.992297134589426,0.7164247609417734,0.019539160050128235,0.7207806697951455,0.5148288464125939,0.037559355376288295,0.0774507550522685,4
6,3,0.9663449252571642,0.9963524723497466,0.6690892364749707,0.023194501958019288,0.6821918113819562,0.48344443727747166,0.056410402758046985,0.1323105408810079,4
7,0,0.9974794995251983,0.9972967671134745,0.9398534172976712,0.020143856587113845,0.9421256302466254,0.544131880312011,0.023613625555299222,0.06740795355290174,4
7,1,0.9971352014959185,0.9981035351897447,0.8978119611852605,0.02039323959580927,0.9001158617320852,0.5072078754943644,0.03826084220781922,0.08078862959519029,4
7,2,0.9975817211905964,0.9980435193102679,0.8727120710163365,0.01595303537947944,0.8746478704416808,0.5044736690997464,0.04127273429185152,0.07934542838484049,4
7,3,0.9965103897586085,0.9962837179685844,0.8580016284238918,0.020313345074343667,0.860753318290734,0.504984688600656,0.06341918930411339,0.09758950676769018,4
8,0,0.9968800692174106,0.9990506875039635,0.8543011570332406,0.02239480637868116,0.8565039453838481,0.45575800514653053,0.07303487276658416,0.10901698842644691,4
8,1,0.9934712319427462,0.9942323468043878,0.8770277059774819,0.014683293516298464,0.8822040262866289,0.3494025396355945,0.08583307452499866,0.1394257191568613,4
8,2,0.9862594749206516,0.9864604969930926,0.789325414950665,0.01895798386224963,0.7977455923860282,0.4438212258868588,0.0212619229714619,0.05013494247396011,4
8,3,0.8863241243320636,0.9341596291566145,0.7521358706353994,0.021641343070546826,0.8405212612408999,0.24238942625604587,0.10532060917466879,0.23513561487197876,4
9,0,0.9899595875176841,0.9911787022086571,0.878497849776764,0.017413039205243747,0.8867038172467343,0.4462597420036472,0.10966655611991882,0.1353751216083765,4
9,1,0.9960398493237475,0.9986150342826012,0.8781198093046577,0.030480272834366686,0.8811304186668953,0.5152693547761497,0.06277485005557537,0.10550720989704132,4
9,2,0.9954352430175559,0.9950491297205505,0.8275248337516135,0.029716199572456182,0.8310503783394972,0.4790119972475862,0.06371300667524338,0.10198044963181019,4
9,3,0.9946671793346019,0.9956514885983854,0.8911549212211693,0.018623944313244583,0.8957109231639288,0.42603238134524607,0.10498664155602455,0.1507218573242426,4
