layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
0,0,0-6,0.0,0.0,0.0,0.998061827008978,0.9998465455866712,0.8577074273511466,0.0231949398563987,0.85864064489729,0.3606135251033837,0.2016033607651479,0.3531722089741379,80,96,1,Q1_low
0,1,7-13,0.0,0.0,0.0,0.9691867349801148,0.9995453947818912,0.6512028322687115,0.0214741027633037,0.6547092429021962,0.3366403414223194,0.1567405557143502,0.3049432998279371,80,96,7,Q1_low
0,2,14-20,0.1101449275362318,0.0157349896480331,0.1101449275362318,0.9841137625377768,0.9981178821429312,0.6450811945937923,0.0219715989588771,0.6485899566997668,0.2733779587436388,0.1939597514923662,0.320236671413295,80,91,5,Q1_low
0,3,21-27,0.0,0.0,0.0,0.9701839906929168,0.999746096970681,0.6456559198671588,0.0215020132498164,0.6506466672105856,0.3203052563828481,0.1628132567777399,0.3072948127323069,80,96,6,Q1_low
1,0,0-6,0.0,0.0,0.0,0.955770798070486,0.9994961418677906,0.7812489035080026,0.0221769715767487,0.7843589254623008,0.3488661431306351,0.1867643699690234,0.3220919599174522,80,96,9,Q1_low
1,1,7-13,0.0,0.0,0.0,0.995954384508424,0.9997590436921862,0.783436222155424,0.0219317320379556,0.7850266493991702,0.3337344583344139,0.2372192777576856,0.3858363659819588,80,96,3,Q1_low
1,2,14-20,0.0,0.0,0.0,0.986182943280618,0.9998004997350712,0.7579150560642336,0.0216572039833188,0.7628268225120526,0.2918958122725112,0.1792765717145812,0.3539408638665918,80,96,4,Q1_low
1,3,21-27,0.0196078431372549,0.0028011204481792,0.0196078431372549,0.99776466327263,0.999735518089344,0.8396420589423249,0.0219543584012088,0.8409352211183538,0.3569635644058265,0.209634771347919,0.351437765249284,80,93,2,Q1_low
2,0,0-6,344.09076290137176,49.15582327162453,343.6951287969141,0.8986901591672977,0.8978873637952154,0.565499944186719,0.0215935653895198,0.6199208233997904,0.0910101781592185,0.6249251851346344,0.714969290420413,80,38,16,Q4
2,1,7-13,0.0,0.0,0.0,0.8214516952885711,0.8358981263844607,0.4735799693195091,0.0217198695139122,0.5550308754557751,0.1044904831458564,0.6278010638226987,0.7154944866808364,80,96,45,Q1_low
2,2,14-20,7.711195095224582,1.1015992993177974,7.085599857129344,0.9600347241287356,0.9612964472416096,0.4622581820395895,0.0218301389029517,0.4761140055503947,0.1279642982050355,0.6537275264388882,0.7426422662101686,80,66,8,Q3
2,3,21-27,136.3700582672817,19.481436895325963,124.1371131239683,0.784128989078673,0.7788359643059768,0.4038563079635163,0.0217369885801606,0.4854886873002735,0.1206562535991521,0.6109319064300507,0.7115526629029774,80,48,53,Q3
3,0,0-6,1.823249311124522,0.2604641873035031,1.823249311124522,0.8538139542805471,0.8868390492111085,0.6521833263972787,0.0221962707232647,0.7408833380211107,0.1702613428574201,0.4937939386247308,0.6150180756405461,80,77,31,Q2
3,1,7-13,396.8635139046901,56.69478770067001,358.59404620375415,0.8873351027389556,0.9095137932989232,0.655093370533787,0.0219587698730911,0.723497156692865,0.1394635280220929,0.4416491064243019,0.5550278478767723,80,32,22,Q4
3,2,14-20,8.463467585700222,1.2090667979571743,8.373189807922444,0.9068725075006764,0.9336981215785596,0.6057862696660365,0.0220987807143541,0.6537497012940459,0.1762288025198361,0.5189482743502595,0.634773071052041,80,65,15,Q3
3,3,21-27,0.0,0.0,0.0,0.7520929091670665,0.8374316424603272,0.5353657415538068,0.0225445614062023,0.6690572390421143,0.1629833060261822,0.4523558796690395,0.5886046815969166,80,96,67,Q1_low
4,0,0-6,1.8740922704677108,0.2677274672096729,0.7158374468668587,0.9499064429719282,0.9783192131117364,0.7347963730389054,0.0207243196909143,0.7669940835678825,0.1760997958477907,0.3815847720718011,0.4781578120309859,80,76,10,Q2
4,1,7-13,1179.063140939569,168.43759156279555,640.981903030267,0.5606341265419891,0.5442787418286765,0.3902187779147152,0.0230552461028402,0.6840746662619974,0.0700207678324791,0.1220868974924087,0.1506587018724531,80,14,109,Q5_high
4,2,14-20,0.0,0.0,0.0,0.8420154329552325,0.9242138227353348,0.6581287745304852,0.0220908665222494,0.7550278628454492,0.164637717940292,0.2874291924556019,0.4195961485384032,80,96,37,Q1_low
4,3,21-27,1.2686323243868,0.1812331891981143,1.2686323243868,0.8225146811379082,0.8857863452692254,0.5778863835757375,0.0217232196593003,0.6809516194725523,0.1441082510203768,0.2315704935812391,0.3578147134743631,80,82,43,Q2
5,0,0-6,10.373812799534434,1.4819732570763475,7.320146204404992,0.8224307105872256,0.8460037302372277,0.5694250735422001,0.0216411040822121,0.677012494433001,0.1162836263362853,0.3682396713062189,0.4393469418864697,80,63,44,Q3
5,1,7-13,13.27236478994373,1.896052112849104,12.955606815948912,0.8982500740969641,0.924617544701257,0.6831072715349296,0.0217702896609657,0.7486234269529201,0.146853753625357,0.3496139959665015,0.3952546854969114,80,59,17,Q3
5,2,14-20,811.3450459729808,115.90643513899724,550.9036678647311,0.7618076634633508,0.7789518740634469,0.5615307519923454,0.0219980657971446,0.7096090343597403,0.1385690144325911,0.283878983114846,0.3616493671201169,80,20,63,Q5_high
5,3,21-27,1.5529274440306926,0.2218467777186703,1.3768751285175926,0.7536813211051987,0.7256738860166659,0.5834668488746757,0.0215758033536212,0.7439355139626508,0.10491331037328,0.2444995068275602,0.3305791375430999,80,79,65,Q2
6,0,0-6,0.0,0.0,0.0,0.691107324641905,0.6244386869173695,0.5092811980223314,0.0220050865578099,0.6749411606596114,0.1510336023962709,0.2903804869525629,0.3879584208631058,80,96,85,Q1_low
6,1,7-13,11.365214811057518,1.6236021158653595,7.138797159052714,0.896687923669452,0.9461365010443048,0.6446940623740768,0.0215126025883792,0.6996413730088299,0.1848952829912107,0.3649366481229663,0.4228611726779491,80,62,19,Q3
