group,name,layer,kv_head,selection_score,top_k,mean_attention,std_attention,num_values
top,L22-KV0,22,0,0.0044122114861011,1,0.028517656731310126,0.021361593038216855,8
top,L22-KV0,22,0,0.0044122114861011,4,0.02175615502619621,0.016822258548271605,8
top,L22-KV0,22,0,0.0044122114861011,8,0.01570994531721226,0.011963614974380872,8
top,L22-KV0,22,0,0.0044122114861011,16,0.010230112669887603,0.0079576096401809,8
top,L22-KV0,22,0,0.0044122114861011,32,0.006195227786520263,0.005105403168601684,8
top,L22-KV0,22,0,0.0044122114861011,64,0.0034026689668280596,0.0028930779739806283,8
top,L22-KV0,22,0,0.0044122114861011,100,0.00222978809210872,0.0019016607030703642,8
top,L19-KV1,19,1,0.0037934525695106,1,0.01875682517425048,0.023999614929682438,8
top,L19-KV1,19,1,0.0037934525695106,4,0.011573458321436192,0.013750624921304251,8
top,L19-KV1,19,1,0.0037934525695106,8,0.008551164535447242,0.009563980570481799,8
top,L19-KV1,19,1,0.0037934525695106,16,0.005523255755406353,0.005771213216237401,8
top,L19-KV1,19,1,0.0037934525695106,32,0.00345464718338917,0.0034901711829374454,8
top,L19-KV1,19,1,0.0037934525695106,64,0.0020300679581737313,0.0020715324255603583,8
top,L19-KV1,19,1,0.0037934525695106,100,0.0014191609739100386,0.0014714180800020381,8
top,L27-KV1,27,1,0.003793348184509,1,0.04175277977446967,0.04594987457700372,8
top,L27-KV1,27,1,0.003793348184509,4,0.020342041448657255,0.02118004334360358,8
top,L27-KV1,27,1,0.003793348184509,8,0.011784098813222954,0.012151009121765735,8
top,L27-KV1,27,1,0.003793348184509,16,0.006536844648053375,0.006671170225376396,8
top,L27-KV1,27,1,0.003793348184509,32,0.003532932144480583,0.0035883885048094387,8
top,L27-KV1,27,1,0.003793348184509,64,0.0019050830949254305,0.0019289195378614558,8
top,L27-KV1,27,1,0.003793348184509,100,0.0012696600367689825,0.0012864501674606467,8
top,L19-KV2,19,2,0.0036253678577509,1,0.010833533448021626,0.008041225019681018,8
top,L19-KV2,19,2,0.0036253678577509,4,0.008610879079697042,0.006823433764287261,8
top,L19-KV2,19,2,0.0036253678577509,8,0.0069197362226987025,0.005643772581037943,8
top,L19-KV2,19,2,0.0036253678577509,16,0.005319425318702997,0.004512571969422816,8
top,L19-KV2,19,2,0.0036253678577509,32,0.003668224300326983,0.0032202474718973704,8
top,L19-KV2,19,2,0.0036253678577509,64,0.002255507592963113,0.002047298232734819,8
top,L19-KV2,19,2,0.0036253678577509,100,0.0015678232390428093,0.0014306885847686632,8
bottom,L0-KV3,0,3,0.0002224276583804,1,0.000402198595338632,0.00043215192642735944,8
bottom,L0-KV3,0,3,0.0002224276583804,4,0.0003060219753479032,0.00037342995498631604,8
bottom,L0-KV3,0,3,0.0002224276583804,8,0.00024667243883413903,0.0003141855652423706,8
bottom,L0-KV3,0,3,0.0002224276583804,16,0.00017633983247833385,0.00023062967294529076,8
bottom,L0-KV3,0,3,0.0002224276583804,32,0.00011132323515994358,0.00014154714277010957,8
bottom,L0-KV3,0,3,0.0002224276583804,64,6.975919416163379e-05,8.553032016064495e-05,8
bottom,L0-KV3,0,3,0.0002224276583804,100,5.203306199064173e-05,6.194762954821581e-05,8
bottom,L0-KV1,0,1,0.0002905843314131,1,0.0002736904449420763,0.00023016060781928463,8
bottom,L0-KV1,0,1,0.0002905843314131,4,0.00018829520536201017,0.0001315619492793732,8
bottom,L0-KV1,0,1,0.0002905843314131,8,0.00014087249348904152,9.446617282474315e-05,8
bottom,L0-KV1,0,1,0.0002905843314131,16,9.002300902238858e-05,5.639483159105823e-05,8
bottom,L0-KV1,0,1,0.0002905843314131,32,5.492676348239911e-05,3.217577578930427e-05,8
bottom,L0-KV1,0,1,0.0002905843314131,64,3.385182640158746e-05,1.8649708276564267e-05,8
bottom,L0-KV1,0,1,0.0002905843314131,100,2.52030163778727e-05,1.3610920523626735e-05,8
bottom,L1-KV2,1,2,0.0003555037575623,1,0.0022968585510625417,0.005191174354165349,8
bottom,L1-KV2,1,2,0.0003555037575623,4,0.0015326037319027819,0.003382206612991023,8
bottom,L1-KV2,1,2,0.0003555037575623,8,0.0009804340529626643,0.002086354633248621,8
bottom,L1-KV2,1,2,0.0003555037575623,16,0.000616170557350415,0.0012899983507327667,8
bottom,L1-KV2,1,2,0.0003555037575623,32,0.00037936500780233473,0.0007977143394799901,8
bottom,L1-KV2,1,2,0.0003555037575623,64,0.00023213976476199605,0.0004908388136210993,8
bottom,L1-KV2,1,2,0.0003555037575623,100,0.0001691414941262792,0.0003580003644663399,8
bottom,L0-KV0,0,0,0.0003627691167139,1,0.0009039297660820012,0.0009717750207886844,8
bottom,L0-KV0,0,0,0.0003627691167139,4,0.0006676310558759724,0.0007419774547315762,8
bottom,L0-KV0,0,0,0.0003627691167139,8,0.0005234635218585026,0.0006127484217764968,8
bottom,L0-KV0,0,0,0.0003627691167139,16,0.00034890892493422143,0.00044414752830790533,8
bottom,L0-KV0,0,0,0.0003627691167139,32,0.00022442675060574402,0.0003112324143112545,8
bottom,L0-KV0,0,0,0.0003627691167139,64,0.00014463378374784952,0.0002183826350889546,8
bottom,L0-KV0,0,0,0.0003627691167139,100,0.00011026026174931758,0.00017574556709704567,8
