name,label,bin,x,mean_density,local_density,global_density
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),0,0.0025,0.0011807659280488483,0.001299348582896138,0.0010621832732015588
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),1,0.0075,0.00019152963483293206,0.00022308707374512387,0.00015997219592074025
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),2,0.0125,6.554255511608582e-05,6.64181434006293e-05,6.466696683154234e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),3,0.017499999999999998,2.5525998820187722e-05,2.4214926091709848e-05,2.6837071548665597e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),4,0.0225,2.8066010977616835e-05,2.561836630223167e-05,3.0513655653001998e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),5,0.0275,4.7508070041755805e-06,3.9769212735661445e-06,5.5246927347850165e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),6,0.0325,2.6060007160465053e-06,2.1766124811100392e-06,3.035388950982971e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),7,0.037500000000000006,2.408114428119136e-06,1.9994442409045277e-06,2.816784615333745e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),8,0.0425,1.287690102864352e-06,1.052798268119659e-06,1.522581937609045e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),9,0.0475,9.016262154659671e-07,7.459371614361641e-07,1.0573152694957701e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),10,0.052500000000000005,1.2271267268358445e-06,9.90716220680302e-07,1.463537232991387e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),11,0.0575,6.346537147245661e-07,5.149884358957024e-07,7.543189935534298e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),12,0.0625,9.389191280969759e-07,7.634304799759255e-07,1.1144077762180262e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),13,0.0675,7.950176583092019e-07,6.850854816775609e-07,9.049498349408427e-07
