layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q
0,0,0-6,0.0,0.0,0.0
0,1,7-13,0.0,0.0,0.0
0,2,14-20,0.11014492753623188,0.015734989648033125,0.11014492753623188
0,3,21-27,0.0,0.0,0.0
1,0,0-6,0.0,0.0,0.0
1,1,7-13,0.0,0.0,0.0
1,2,14-20,0.0,0.0,0.0
1,3,21-27,0.0196078431372549,0.0028011204481792717,0.0196078431372549
2,0,0-6,344.09076290137176,49.155823271624534,343.6951287969141
2,1,7-13,0.0,0.0,0.0
2,2,14-20,7.711195095224582,1.1015992993177974,7.085599857129344
2,3,21-27,136.37005826728173,19.481436895325963,124.1371131239683
3,0,0-6,1.823249311124522,0.2604641873035031,1.823249311124522
3,1,7-13,396.8635139046901,56.69478770067001,358.59404620375415
3,2,14-20,8.463467585700222,1.2090667979571745,8.373189807922444
3,3,21-27,0.0,0.0,0.0
4,0,0-6,1.8740922704677108,0.26772746720967294,0.7158374468668587
4,1,7-13,1179.063140939569,168.43759156279557,640.981903030267
4,2,14-20,0.0,0.0,0.0
4,3,21-27,1.2686323243868,0.1812331891981143,1.2686323243868
5,0,0-6,10.373812799534434,1.4819732570763477,7.320146204404992
5,1,7-13,13.27236478994373,1.8960521128491041,12.955606815948913
5,2,14-20,811.3450459729808,115.90643513899725,550.9036678647311
5,3,21-27,1.5529274440306926,0.22184677771867037,1.3768751285175926
6,0,0-6,0.0,0.0,0.0
6,1,7-13,11.365214811057518,1.6236021158653597,7.138797159052714
6,2,14-20,0.0,0.0,0.0
6,3,21-27,0.0,0.0,0.0
7,0,0-6,345.5660275078044,49.36657535825777,345.5422179839949
7,1,7-13,0.465935471178438,0.06656221016834828,0.4227982162764772
7,2,14-20,12.496240437805678,1.7851772054008113,9.410130751502848
7,3,21-27,17.33114523586776,2.4758778908382513,7.649254052110504
8,0,0-6,3.392493863623053,0.484641980517579,1.7453938625300855
8,1,7-13,28.264113095230993,4.037730442175856,20.154351970572023
8,2,14-20,0.0,0.0,0.0
8,3,21-27,1213.260300573806,173.32290008197228,643.4565498491863
9,0,0-6,106.12336357867622,15.16048051123946,100.20564383393193
9,1,7-13,289.4822773642291,41.35461105203273,275.6894407974456
9,2,14-20,1.4743048983180562,0.21061498547400803,0.8240495615495615
9,3,21-27,30.361331869073336,4.337333124153334,13.556992578955676
10,0,0-6,159.43696998888583,22.77670999841226,159.36152913503753
10,1,7-13,3.0199664492509815,0.4314237784644259,2.5761539000011258
10,2,14-20,1.0347052730360264,0.14781503900514664,0.9356576539884074
10,3,21-27,0.0,0.0,0.0
11,0,0-6,9.827735759201055,1.4039622513144363,9.827735759201055
11,1,7-13,25.89548052837913,3.699354361197019,22.374201034878624
11,2,14-20,0.009259259259259259,0.0013227513227513227,0.009259259259259259
11,3,21-27,376.04692572746984,53.72098938963855,300.1403816415763
12,0,0-6,0.20309948384948384,0.02901421197849769,0.1361530969030969
12,1,7-13,6.942528234846424,0.9917897478352035,6.789089081407271
12,2,14-20,106.19555464039277,15.17079352005611,100.77726088130728
12,3,21-27,298.0176935829644,42.573956226137774,297.50370918478507
13,0,0-6,4.839860431807436,0.691408633115348,2.9106914822689616
13,1,7-13,0.13692927170868346,0.019561324529811925,0.07532212885154062
13,2,14-20,2.924509361174713,0.41778705159638757,2.3564656456309976
13,3,21-27,5.831052750020905,0.833007535717272,3.878529000474427
14,0,0-6,2984.999367408341,426.42848105833446,861.5073665971261
14,1,7-13,650.8043740703723,92.97205343862461,530.2021291087256
14,2,14-20,18.87059424926544,2.6957991784664914,8.313605492654087
14,3,21-27,63.93387862792687,9.133411232560983,53.79505969651221
15,0,0-6,3.902325823940047,0.557475117705721,3.3454263345405577
15,1,7-13,0.4488048085609061,0.06411497265155801,0.4488048085609061
15,2,14-20,1775.3794777495223,253.62563967850318,671.510749519399
15,3,21-27,2.911912073338561,0.4159874390483659,2.390022444448932
16,0,0-6,1360.3736859623934,194.33909799462762,560.1533074138028
16,1,7-13,1824.968779150183,260.7098255928833,675.3352381509374
16,2,14-20,495.70741228804815,70.8153446125783,354.0731299012567
16,3,21-27,0.5879638409948913,0.08399483442784161,0.5879638409948913
17,0,0-6,1.2660198514007097,0.18085997877152996,1.2660198514007097
17,1,7-13,1396.717370326543,199.53105290379185,815.4653082875848
17,2,14-20,1221.812726106863,174.54467515812328,609.2458505463362
17,3,21-27,379.2862739016366,54.183753414519515,377.908217815868
18,0,0-6,0.009259259259259259,0.0013227513227513227,0.009259259259259259
18,1,7-13,33.255569275132764,4.750795610733252,33.10342365467135
18,2,14-20,164.77157342550697,23.53879620364385,131.734680711009
18,3,21-27,0.06666666666666667,0.009523809523809523,0.06666666666666667
19,0,0-6,487.01355392590096,69.57336484655728,479.37823599309985
19,1,7-13,0.0,0.0,0.0
19,2,14-20,2165.8311096025905,309.4044442289415,800.6051276919225
19,3,21-27,598.7185404833679,85.53122006905255,379.894168741558
20,0,0-6,1.5958470845147321,0.22797815493067602,1.5333470845147321
20,1,7-13,705.4160512299712,100.7737216042816,404.0835590174688
20,2,14-20,256.6139823472114,36.65914033531591,222.65873984866738
20,3,21-27,295.2785652795775,42.18265218279679,247.9413855362769
21,0,0-6,400.5545016910516,57.22207167015023,371.7032879854721
21,1,7-13,592.1320066580108,84.59028666543011,535.9581273118918
21,2,14-20,286.0554283302276,40.86506119003251,284.71217331323294
21,3,21-27,656.533569231215,93.79050989017357,517.0883839685209
22,0,0-6,3726.7503473397974,532.3929067628281,925.5400575866356
22,1,7-13,1152.2399587203072,164.6057083886153,836.6987629080254
22,2,14-20,132.7273293646381,18.961047052091157,101.35209515690761
22,3,21-27,1941.6920774569521,277.3845824938503,804.604527895105
23,0,0-6,345.1194940697536,49.30278486710766,167.76059068341496
23,1,7-13,2396.0056977945546,342.28652825636493,796.6888505479998
23,2,14-20,624.0852843228768,89.15504061755382,150.37546979025666
23,3,21-27,0.0,0.0,0.0
24,0,0-6,0.0,0.0,0.0
24,1,7-13,5.035166975131728,0.7193095678759611,3.7459519771667296
24,2,14-20,215.18559402380964,30.74079914625852,99.4922634088366
24,3,21-27,865.3409584935666,123.62013692765238,330.7962831087146
25,0,0-6,11.862424029517001,1.6946320042167144,10.773293061506722
25,1,7-13,772.0948930506357,110.2992704358051,134.07113909620227
25,2,14-20,0.2953663915060974,0.04219519878658534,0.2953663915060974
25,3,21-27,936.8904141898946,133.84148774141352,779.8695329857139
26,0,0-6,605.9186339821938,86.55980485459911,119.05456790209752
26,1,7-13,200.26273595805623,28.608962279722316,141.7848513341922
26,2,14-20,1385.7286495649573,197.96123565213676,479.52548152271436
26,3,21-27,356.05748475602604,50.86535496514658,257.3469545736684
27,0,0-6,983.9567030641208,140.5652432948744,272.31216619559086
27,1,7-13,1.413398477909446,0.201914068272778,0.44262773973927494
27,2,14-20,1455.9245795514648,207.98922565020925,324.963628569185
27,3,21-27,999.6440651789285,142.8062950255612,220.757946847163
