region,bin,x,local_density,global_density
previous,0,-0.995,0.0,0.0
previous,1,-0.985,0.0,0.0
previous,2,-0.975,0.0,0.0
previous,3,-0.965,0.0,0.0
previous,4,-0.955,0.0,0.0
previous,5,-0.945,0.0,0.0
previous,6,-0.935,0.0,0.0
previous,7,-0.925,0.0,0.0
previous,8,-0.915,0.0,0.0
previous,9,-0.905,0.0,0.0
previous,10,-0.895,0.0,0.0
previous,11,-0.885,0.0,0.0
previous,12,-0.875,0.0,0.0
previous,13,-0.865,0.0,0.0
previous,14,-0.855,0.0,0.0
previous,15,-0.845,0.0,0.0
previous,16,-0.835,0.0,0.0
previous,17,-0.825,0.0,0.0
previous,18,-0.815,0.0,0.0
previous,19,-0.8049999999999999,0.0,0.0
previous,20,-0.7949999999999999,0.0,0.0
previous,21,-0.785,0.0,0.0
previous,22,-0.775,0.0,0.0
previous,23,-0.765,0.0,0.0
previous,24,-0.755,0.0,0.0
previous,25,-0.745,0.0,0.0
previous,26,-0.735,0.0,0.0
previous,27,-0.725,0.0,0.0
previous,28,-0.715,0.0,0.0
previous,29,-0.7050000000000001,0.0,0.0
previous,30,-0.6950000000000001,0.0,0.0
previous,31,-0.685,0.0,0.0
previous,32,-0.675,0.0,0.0
previous,33,-0.665,0.0,0.0
previous,34,-0.655,0.0,0.0
previous,35,-0.645,0.0,0.0
previous,36,-0.635,0.0,0.0
previous,37,-0.625,0.0,0.0
previous,38,-0.615,0.0,0.0
previous,39,-0.605,0.0,0.0
previous,40,-0.595,0.0,0.0
previous,41,-0.585,0.0,0.0
previous,42,-0.575,0.0,0.0
previous,43,-0.565,0.0,0.0
previous,44,-0.5549999999999999,0.0,0.0
previous,45,-0.5449999999999999,0.0,0.0
previous,46,-0.5349999999999999,0.0,0.0
previous,47,-0.5249999999999999,0.0,0.0
previous,48,-0.515,0.0,0.0
previous,49,-0.505,0.0,0.0
previous,50,-0.495,0.0,0.0
previous,51,-0.485,0.0,0.0
previous,52,-0.475,0.0,0.0
previous,53,-0.46499999999999997,0.0,0.0
previous,54,-0.45499999999999996,0.0,0.0
previous,55,-0.44499999999999995,0.0,0.0
previous,56,-0.43499999999999994,0.0,0.0
previous,57,-0.42499999999999993,0.0,0.0
previous,58,-0.41500000000000004,0.0,0.0
previous,59,-0.405,0.0,0.0
previous,60,-0.395,0.0,0.0
previous,61,-0.385,0.0,0.0
previous,62,-0.375,0.0,0.0
previous,63,-0.365,0.0,0.0
previous,64,-0.355,0.0,0.0
previous,65,-0.345,0.0,0.0
previous,66,-0.33499999999999996,0.0,0.0
previous,67,-0.32499999999999996,0.0,0.0
previous,68,-0.31499999999999995,0.0,0.0
previous,69,-0.30499999999999994,0.0,0.0
previous,70,-0.29499999999999993,0.0,0.0
