region,bin,x,local_density,global_density
previous,0,-0.9975,0.00036462995486470726,0.0002875745864433351
previous,1,-0.9925,0.00020684061458243322,0.00015249613134259637
previous,2,-0.9875,0.00011803095591106712,7.893351619926233e-05
previous,3,-0.9825,0.00016202407123192382,0.00012433477277302616
previous,4,-0.9775,4.7255129258842874e-05,4.5358699406322986e-05
previous,5,-0.9725,1.0792076366493459e-05,8.35875617929801e-06
previous,6,-0.9675,1.6468162868352233e-05,1.320659585036368e-05
previous,7,-0.9625,1.0222244084996753e-05,8.071162110575048e-06
previous,8,-0.9575,4.336473001030429e-05,3.576070516469e-05
previous,9,-0.9525,5.2284792437958734e-05,4.443761595322188e-05
previous,10,-0.9475,2.4158008608774438e-05,2.1952871076028453e-05
previous,11,-0.9425,2.6951221501901402e-05,2.289366882387046e-05
previous,12,-0.9375,3.0840477654808226e-05,2.5893728654145147e-05
previous,13,-0.9325000000000001,4.365717157253589e-05,3.496742733015791e-05
previous,14,-0.9275,5.0965692234451487e-05,4.3252781723183213e-05
previous,15,-0.9225000000000001,2.171194251370336e-05,1.8557518660078148e-05
previous,16,-0.9175000000000001,6.849077195460156e-06,5.722510019442167e-06
previous,17,-0.9125000000000001,5.207256132465847e-06,4.19337137008815e-06
previous,18,-0.9075000000000001,2.414666542565602e-05,1.967989706573156e-05
previous,19,-0.9025000000000001,2.9178423057963262e-05,2.5054358541972168e-05
previous,20,-0.8975000000000001,6.614317478161698e-06,5.480556827520485e-06
previous,21,-0.8925000000000001,2.5252194613089232e-05,1.958702977603656e-05
previous,22,-0.8875000000000001,2.4144814547674527e-05,2.275935974728443e-05
previous,23,-0.8825000000000001,1.028320584435612e-05,8.229585354368338e-06
previous,24,-0.8775000000000001,5.868031228384534e-06,4.6412561123164015e-06
previous,25,-0.8725,5.318638946331406e-06,4.372457976494249e-06
previous,26,-0.8675,6.391483008410061e-06,4.99177679944064e-06
previous,27,-0.8625,5.394181127313663e-06,4.430610771617801e-06
previous,28,-0.8575,9.691167646189329e-06,7.885197512550525e-06
previous,29,-0.8525,7.819169248080016e-06,6.903970712058634e-06
previous,30,-0.8475,8.83681951500987e-06,7.610765799640552e-06
previous,31,-0.8425,3.845551162694902e-06,3.148430795421314e-06
previous,32,-0.8375,5.545942372444475e-06,4.133505240800713e-06
previous,33,-0.8325,3.861938679960986e-06,2.9955335126682518e-06
previous,34,-0.8275,3.827542264340471e-06,3.075514692515141e-06
previous,35,-0.8225,5.515610737481151e-06,5.0589987364823665e-06
previous,36,-0.8175000000000001,2.6234366616680587e-05,1.7801415531199982e-05
previous,37,-0.8125,1.79103976454899e-05,1.5824483836752858e-05
previous,38,-0.8075000000000001,8.921023657117818e-06,8.675225697281664e-06
previous,39,-0.8025,4.587929086074855e-06,3.97356328165893e-06
previous,40,-0.7975000000000001,3.1506076086362573e-06,2.5738899534896324e-06
previous,41,-0.7925,3.241672788145915e-05,2.3975566144989508e-05
previous,42,-0.7875000000000001,3.472833813371691e-05,2.892959577106127e-05
previous,43,-0.7825000000000001,2.303656561189641e-05,1.569413179209345e-05
previous,44,-0.7775000000000001,3.981496368887329e-05,2.9655694756116894e-05
previous,45,-0.7725000000000001,1.747226114610951e-05,1.5705500162175494e-05
previous,46,-0.7675000000000001,5.219560090329289e-05,2.9460198492223084e-05
previous,47,-0.7625000000000001,8.887109235522947e-05,7.694457115373938e-05
previous,48,-0.7575000000000001,1.96095619655204e-05,1.5205500267517882e-05
previous,49,-0.7525000000000001,8.539180721434568e-06,9.495037199702457e-06
previous,50,-0.7475,3.455040843864852e-06,2.7449098387633894e-06
previous,51,-0.7425,3.1688319658795136e-06,2.5969647890285475e-06
previous,52,-0.7375,5.968033150918704e-06,5.108173425800631e-06
previous,53,-0.7325,5.397008660786329e-06,5.296218484762467e-06
previous,54,-0.7275,4.212732947934808e-06,3.7615858264599894e-06
previous,55,-0.7225,2.856576238137765e-06,2.3171115020717274e-06
previous,56,-0.7175,2.9825346248970867e-06,2.3864545699218664e-06
