class,bin,x,mean_density,local_density,global_density
memory,0,0.0025,9.612436728003405e-05,0.00011454115826333797,7.770757629673012e-05
memory,1,0.0075,4.54482714533229e-06,5.602962315754433e-06,3.4866919749101474e-06
memory,2,0.0125,3.2571560451121476e-05,3.3794964167255464e-05,3.134815673498749e-05
memory,3,0.017499999999999998,2.1324369311387444e-06,2.6037676406999354e-06,1.661106221577553e-06
memory,4,0.0225,6.173329465882075e-06,7.28886029401996e-06,5.0577986377441906e-06
memory,5,0.0275,2.659286109898493e-06,3.2174251220088275e-06,2.101147097788159e-06
memory,6,0.0325,3.93038490580251e-06,4.427293257866973e-06,3.4334765537380463e-06
memory,7,0.037500000000000006,1.8807470663564775e-06,2.3558740845474075e-06,1.4056200481655473e-06
memory,8,0.0425,5.103000281165231e-06,5.514283617891912e-06,4.69171694443855e-06
memory,9,0.0475,1.2400532094157048e-05,1.322281078069471e-05,1.1578253407619387e-05
memory,10,0.052500000000000005,1.5649734157694209e-06,1.9418410573827225e-06,1.1881057741561193e-06
memory,11,0.0575,1.3162393987037262e-06,1.6563149569342222e-06,9.761638404732303e-07
memory,12,0.0625,1.4664027220322408e-06,1.830828214320281e-06,1.1019772297442007e-06
memory,13,0.0675,3.083972642742366e-06,3.4786540844414923e-06,2.68929120104324e-06
memory,14,0.07250000000000001,1.3531956224299847e-06,1.672322668684882e-06,1.0340685761750873e-06
memory,15,0.0775,1.850785604023603e-06,2.2603673376205994e-06,1.4412038704266066e-06
memory,16,0.0825,2.135763324106455e-06,2.5591533391596537e-06,1.7123733090532563e-06
memory,17,0.08750000000000001,2.282468120976962e-06,2.76939663167254e-06,1.7955396102813843e-06
memory,18,0.0925,4.284206015079597e-06,5.502432186817301e-06,3.0659798433418928e-06
memory,19,0.0975,2.968358387603162e-06,3.5648171788324504e-06,2.3718995963738743e-06
memory,20,0.10250000000000001,4.824734228736927e-06,5.915857731721063e-06,3.7336107257527903e-06
memory,21,0.1075,2.1688241059588824e-06,2.6515004740510695e-06,1.686147737866695e-06
memory,22,0.1125,1.4759301096268238e-06,1.7923652309419098e-06,1.159494988311738e-06
memory,23,0.11750000000000001,5.16482537560026e-06,6.014520967478465e-06,4.315129783722055e-06
memory,24,0.1225,3.959814496272725e-06,4.823444388190868e-06,3.0961846043545813e-06
