bin,x,local_density,global_density
0,0.0025,0.00019261405946378676,0.00014742702060859802
1,0.0075,2.1849953099302518e-05,1.770899271709057e-05
2,0.0125,3.4744217558983684e-05,2.956453611303385e-05
3,0.017499999999999998,2.1282701901995727e-05,1.778527542643708e-05
4,0.0225,2.2577239089319585e-05,1.9127228008110993e-05
5,0.0275,6.8278572351406476e-06,5.470275297045414e-06
6,0.0325,7.169923270682876e-06,6.061151279890491e-06
7,0.037500000000000006,8.676477330781456e-06,6.169564577458794e-06
8,0.0425,9.155066782786703e-06,8.114952633456356e-06
9,0.0475,3.165974168506618e-05,2.4510575060961697e-05
10,0.052500000000000005,3.7133006326466415e-05,2.88021173287466e-05
11,0.0575,4.479942216959193e-06,3.973270650578566e-06
12,0.0625,3.187180370253614e-06,2.554873509378625e-06
13,0.0675,1.7399936486505832e-05,1.6504498015053184e-05
14,0.07250000000000001,3.373131448534989e-06,2.7882658434454965e-06
15,0.0775,7.546120869215995e-06,6.825882533631761e-06
16,0.0825,1.8932757919244222e-05,1.7409722366149867e-05
17,0.08750000000000001,9.995540503556482e-06,8.34046117569071e-06
18,0.0925,1.0693770425799516e-05,8.635268006356937e-06
19,0.0975,5.099879436269178e-06,4.20824506895027e-06
20,0.10250000000000001,5.092708653480759e-06,4.038300083954143e-06
21,0.1075,3.654119814896427e-06,2.953234319223305e-06
22,0.1125,3.357139275942004e-06,2.850938848408133e-06
23,0.11750000000000001,7.672767637535687e-06,6.4990253393688715e-06
24,0.1225,6.391161177213448e-06,5.141752168634523e-06
25,0.1275,4.732939712493116e-06,3.90842078657823e-06
26,0.1325,3.506888378167007e-06,2.8463674211985672e-06
27,0.1375,3.2746709178131915e-06,2.7359360188358775e-06
28,0.14250000000000002,3.6198688592646377e-06,3.093060350212853e-06
29,0.1475,3.59409572282328e-06,3.000520837652087e-06
30,0.1525,3.0052431890690246e-06,2.5607457390652617e-06
31,0.1575,3.5282652807008423e-06,2.9167352681492866e-06
32,0.1625,3.3012196191910855e-06,2.8272204408889296e-06
33,0.1675,4.807027126828091e-06,4.187959165199814e-06
34,0.17250000000000001,3.8250385263525605e-06,3.3211992767022894e-06
35,0.17750000000000002,4.434633157815166e-06,3.7897280399900465e-06
36,0.1825,4.4591794195458556e-06,3.7918551637914085e-06
37,0.1875,5.0845227385869814e-06,4.371376911533343e-06
38,0.1925,6.180687655173921e-06,5.33388704799707e-06
39,0.1975,6.414948041493999e-05,3.784902676552427e-05
40,0.2025,0.00023343817138901828,0.0001969237672777727
41,0.20750000000000002,7.43528510539289e-06,5.909209997006266e-06
42,0.2125,6.892048725032918e-06,5.76461386351778e-06
43,0.2175,0.0007970973184300493,0.0006175870653293008
44,0.2225,1.3626867244938137e-05,9.91103422040619e-06
45,0.2275,9.584599958580671e-06,7.689160341038698e-06
46,0.2325,6.993928322725303e-06,5.353020679528842e-06
47,0.23750000000000002,6.028060652726931e-06,4.905328366629299e-06
48,0.2425,3.6709354583772625e-06,2.823136175989856e-06
49,0.2475,4.679652761296893e-06,3.6813523820455885e-06
50,0.2525,3.914057823066616e-06,2.9531882663384434e-06
51,0.2575,4.919001490142531e-06,3.670134865805434e-06
52,0.2625,4.22004468210078e-06,3.1369558614387085e-06
53,0.2675,6.897750327017111e-06,5.582717503738404e-06
54,0.2725,3.473413715705554e-06,2.620234412535531e-06
55,0.2775,5.2872200162524604e-06,4.192319837603482e-06
56,0.28250000000000003,3.918616270618017e-06,3.0007060797685177e-06
57,0.28750000000000003,4.981200347327438e-06,3.907259616769398e-06
58,0.2925,4.927757738549152e-06,3.880736049463199e-06
59,0.2975,5.966803276267604e-06,4.74212699990468e-06
60,0.3025,6.014528998707415e-06,4.883214469593756e-06
61,0.3075,7.01944602079326e-06,5.678950577819297e-06
62,0.3125,5.335277177441733e-06,4.208401874711389e-06
63,0.3175,1.4714347776830715e-05,1.1355391998674757e-05
64,0.3225,6.575445203039561e-06,4.249799792548902e-06
65,0.3275,5.514746217669403e-06,4.364912573824229e-06
66,0.3325,2.8044060059943725e-06,1.998537176693937e-06
