class,bin,x,mean_density,local_density,global_density
memory,0,0.0025,0.000934853706444338,0.0010359844311370117,0.0008337229817516641
memory,1,0.0075,0.00011329247754463488,0.00012243900283369819,0.00010414595225557158
memory,2,0.0125,3.230528073175049e-05,3.414335207894068e-05,3.0467209384560307e-05
memory,3,0.017499999999999998,5.459564991119412e-06,5.93779281466588e-06,4.981337167572944e-06
memory,4,0.0225,8.903218611694623e-06,9.94954989928167e-06,7.856887324107578e-06
memory,5,0.0275,1.3217501721124674e-05,1.4172072973147613e-05,1.2262930469101737e-05
memory,6,0.0325,8.054687977205271e-06,8.603294369162047e-06,7.5060815852484945e-06
memory,7,0.037500000000000006,3.319159042067624e-06,3.762827742927909e-06,2.8754903412073387e-06
memory,8,0.0425,1.1781160771090554e-05,1.2410591412453137e-05,1.115173012972797e-05
memory,9,0.0475,9.461934684051589e-06,1.011739323308747e-05,8.806476135015705e-06
memory,10,0.052500000000000005,6.227958436095343e-06,6.9736424140544375e-06,5.482274458136248e-06
memory,11,0.0575,5.13567889660082e-06,5.877908977060019e-06,4.3934488161416216e-06
memory,12,0.0625,1.1700825420130283e-05,1.2788225970328538e-05,1.061342486993203e-05
memory,13,0.0675,2.8601056520425817e-06,3.2166125822705927e-06,2.503598721814571e-06
memory,14,0.07250000000000001,2.098059122700403e-06,2.4178202278270855e-06,1.778298017573721e-06
memory,15,0.0775,1.1980675849649873e-05,1.2805159401862854e-05,1.1156192297436893e-05
memory,16,0.0825,5.157708344900995e-06,5.894758731759755e-06,4.420657958042236e-06
memory,17,0.08750000000000001,1.398761418052636e-05,1.5194692864736483e-05,1.2780535496316235e-05
memory,18,0.0925,4.584798927291684e-06,5.355157625324586e-06,3.8144402292587825e-06
memory,19,0.0975,3.453759381542079e-06,3.926218893736165e-06,2.981299869347992e-06
memory,20,0.10250000000000001,4.213530460078125e-06,4.946123109559965e-06,3.4809378105962847e-06
memory,21,0.1075,2.7695516753041533e-06,3.2299336437193105e-06,2.309169706888996e-06
memory,22,0.1125,1.2997872860537258e-05,1.4190478976103152e-05,1.1805266744971363e-05
memory,23,0.11750000000000001,8.63424316775664e-06,9.505618020849343e-06,7.76286831466394e-06
memory,24,0.1225,5.705229390770597e-06,6.549527096297339e-06,4.860931685243855e-06
memory,25,0.1275,3.3436259248096255e-06,3.8351129130025535e-06,2.852138936616698e-06
memory,26,0.1325,2.738433410412863e-06,3.1554989095968925e-06,2.3213679112288332e-06
memory,27,0.1375,2.4874990136909096e-06,2.797557582161809e-06,2.17744044522001e-06
memory,28,0.14250000000000002,2.2989764566134023e-06,2.58961806079103e-06,2.008334852435775e-06
memory,29,0.1475,3.870372988785214e-06,4.2816114450489125e-06,3.4591345325215156e-06
memory,30,0.1525,5.9750307781549715e-06,6.5811171857795705e-06,5.368944370530372e-06
memory,31,0.1575,1.7720471679470662e-05,1.9242373520194693e-05,1.619856983874663e-05
memory,32,0.1625,6.188251910662649e-06,6.497987789276029e-06,5.878516032049268e-06
memory,33,0.1675,9.972375364724379e-06,1.0828009516180296e-05,9.116741213268462e-06
memory,34,0.17250000000000001,1.9987638853173633e-06,2.2767099036858097e-06,1.7208178669489174e-06
memory,35,0.17750000000000002,2.438682905219376e-06,2.8147951958647564e-06,2.062570614573995e-06
memory,36,0.1825,2.127545010394355e-06,2.430911947627677e-06,1.8241780731610324e-06
memory,37,0.1875,2.3161254380373447e-06,2.7032206363108125e-06,1.9290302397638765e-06
memory,38,0.1925,2.5534812405074167e-06,3.052804157091346e-06,2.054158323923487e-06
memory,39,0.1975,1.8883939011765732e-05,2.3395585537933805e-05,1.437229248559766e-05
memory,40,0.2025,7.361381556951359e-05,8.740957987910654e-05,5.9818051259920634e-05
memory,41,0.20750000000000002,3.869853384512186e-06,4.569253238699573e-06,3.170453530324798e-06
memory,42,0.2125,2.9306495613944053e-06,3.3779357904306497e-06,2.483363332358161e-06
memory,43,0.2175,0.0007579457075372424,0.0008554199304544365,0.0006604714846200484
memory,44,0.2225,8.19935599543393e-06,1.0323312156420154e-05,6.075399834447705e-06
memory,45,0.2275,3.949580533008595e-06,4.850757083626636e-06,3.048403982390553e-06
memory,46,0.2325,3.0760463678101493e-06,3.841742540735347e-06,2.3103501948849515e-06
memory,47,0.23750000000000002,2.0805671240687492e-06,2.5311248747386767e-06,1.6300093733988222e-06
memory,48,0.2425,1.7268470227094213e-06,2.099305152594386e-06,1.3543888928244566e-06
memory,49,0.2475,1.9199053110955075e-06,2.322654141052781e-06,1.517156481138234e-06
memory,50,0.2525,1.797842679624123e-06,2.2075679720021435e-06,1.3881173872461022e-06
memory,51,0.2575,2.3175620263402067e-06,2.8454423919761034e-06,1.7896816607043098e-06
memory,52,0.2625,2.1448168760463425e-06,2.630736571776734e-06,1.658897180315951e-06
memory,53,0.2675,0.00017302704773162044,0.00018971638737506414,0.00015633770808817673
memory,54,0.2725,0.0001584853512495991,0.00017150777387179425,0.00014546292862740393
memory,55,0.2775,2.5293049350534307e-06,3.006381278736059e-06,2.0522285913708023e-06
memory,56,0.28250000000000003,2.2038167737929445e-06,2.6341292406873318e-06,1.7735043068985571e-06
memory,57,0.28750000000000003,2.4203364655964577e-06,2.9205075256521475e-06,1.9201654055407675e-06
memory,58,0.2925,2.2470287121667975e-06,2.7313576157181076e-06,1.7626998086154874e-06
memory,59,0.2975,2.701471116139942e-06,3.2698610054767e-06,2.1330812268031836e-06
memory,60,0.3025,2.9636323374718327e-06,3.5655902417621385e-06,2.3616744331815273e-06
memory,61,0.3075,3.542478244366865e-06,4.2481580372012774e-06,2.8367984515324526e-06
memory,62,0.3125,2.896180861967245e-06,3.5050383852923866e-06,2.2873233386421033e-06
memory,63,0.3175,6.4432111135554854e-06,7.999930128652546e-06,4.886492098458425e-06
memory,64,0.3225,4.514695981217298e-06,5.881130610824974e-06,3.1482613516096216e-06
memory,65,0.3275,1.6610505361357254e-06,2.0352718422231334e-06,1.2868292300483176e-06
memory,66,0.3325,1.3456949763113467e-06,1.6551520359308602e-06,1.0362379166918332e-06
memory,67,0.3375,1.1038346950138182e-06,1.3035979838912374e-06,9.040714061363992e-07
memory,68,0.3425,9.682709789400449e-07,1.1358577284047678e-06,8.006842294753222e-07
memory,69,0.34750000000000003,1.2018044265042212e-06,1.4278660340789589e-06,9.757428189294837e-07
memory,70,0.35250000000000004,9.601401396539157e-07,1.1586003372168282e-06,7.616799420910032e-07
memory,71,0.3575,1.3074080764501513e-06,1.5823833758692625e-06,1.03243277703104e-06
