region,bin,x,local_density,global_density
previous,0,-0.9975,0.0006595971302351235,0.0005296091909827988
previous,1,-0.9925,0.0006617013635430662,0.0005311038362364031
previous,2,-0.9875,0.0006347801226632314,0.0005333187547791465
previous,3,-0.9825,0.00043145995221952456,0.00036821503251210127
previous,4,-0.9775,0.00025986460746104143,0.00022678732857629922
previous,5,-0.9725,0.00019912836767138734,0.00016954133158208587
previous,6,-0.9675,0.00018958179310578162,0.000160324812483102
previous,7,-0.9625,0.00011079234102022808,9.890478390276072e-05
previous,8,-0.9575,0.00019466592394397892,0.00016407042268759382
previous,9,-0.9525,9.030701308996257e-05,8.131907977578269e-05
previous,10,-0.9475,5.584221132684021e-05,5.000205917879702e-05
previous,11,-0.9425,7.986809350695949e-05,7.0310110855123e-05
previous,12,-0.9375,5.0182787638840293e-05,4.3624751895688047e-05
previous,13,-0.9325000000000001,8.730839689619074e-05,7.41303368777739e-05
previous,14,-0.9275,6.153634678397265e-05,5.626961190669307e-05
previous,15,-0.9225000000000001,4.4619567675627304e-05,4.020961828090913e-05
previous,16,-0.9175000000000001,6.352070006698796e-05,5.322094586430193e-05
previous,17,-0.9125000000000001,3.7188369969170734e-05,3.248276171796229e-05
previous,18,-0.9075000000000001,4.5562901426731567e-05,4.2122719843790466e-05
previous,19,-0.9025000000000001,4.3862106471808645e-05,4.0259670795676914e-05
previous,20,-0.8975000000000001,1.9349383855751744e-05,1.7576111743963162e-05
previous,21,-0.8925000000000001,4.15907153067136e-05,3.2951263623387175e-05
previous,22,-0.8875000000000001,3.4644493382819635e-05,3.408166816031039e-05
previous,23,-0.8825000000000001,2.9720505159328854e-05,2.4225487723641685e-05
previous,24,-0.8775000000000001,2.4348657403013545e-05,1.939863170400017e-05
previous,25,-0.8725,3.7286375155975765e-05,3.203695577795284e-05
previous,26,-0.8675,2.6799960967970985e-05,2.4962576679535446e-05
previous,27,-0.8625,1.4408043293810482e-05,1.2204738630503487e-05
previous,28,-0.8575,2.782585006231705e-05,2.1878013519648105e-05
previous,29,-0.8525,2.635062511259019e-05,2.3448993960457767e-05
previous,30,-0.8475,2.2652287963681803e-05,1.990883817089822e-05
previous,31,-0.8425,1.4935594938628342e-05,1.2733083059699174e-05
previous,32,-0.8375,4.5717557208209955e-05,3.915493798417942e-05
previous,33,-0.8325,1.486033201460831e-05,1.3256954733540564e-05
