name,label,bin,x,mean_density,local_density,global_density
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),0,0.0025,1.2738107105749107e-05,1.3861435706173455e-05,1.1614778505324758e-05
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),1,0.0075,1.0314638403967941e-05,1.1113772218201185e-05,9.515504589734697e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),2,0.0125,1.0877879982043987e-05,1.171796884388446e-05,1.0037791120203516e-05
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),3,0.017499999999999998,1.1098700265499417e-05,1.1940569081048125e-05,1.025683144995071e-05
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),4,0.0225,1.8683451421403724e-05,2.0584490731120502e-05,1.6782412111686945e-05
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),5,0.0275,1.0980931399221358e-05,1.2004486417741386e-05,9.95737638070133e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),6,0.0325,8.391769882543088e-06,9.088682148217231e-06,7.694857616868944e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),7,0.037500000000000006,6.610721712580719e-06,7.142853204657383e-06,6.078590220504054e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),8,0.0425,6.484157857501925e-06,6.951897051164581e-06,6.016418663839269e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),9,0.0475,6.279627546338215e-06,6.6766171065475125e-06,5.8826379861289165e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),10,0.052500000000000005,7.410115243570001e-06,7.879650504654429e-06,6.9405799824855715e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),11,0.0575,6.813741897434714e-06,7.271845906383792e-06,6.355637888485635e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),12,0.0625,7.368877396020577e-06,7.879176501595403e-06,6.858578290445751e-06
bottom_L0_KV0,bottom L0-KV0 (score mean q=0),13,0.0675,7.492365931735126e-06,8.052453636204454e-06,6.932278227265799e-06
